step,time,base_x,base_y,base_z,qpos_norm,qvel_norm,ctrl_norm,n_contact,contact_pairs
0,0.002,0.0,0.0,0.445,0.018337065924887604,9.169139034861415,0.5,4,floor<->FR|floor<->FL|floor<->RR|floor<->RL
1,0.004,1.0472366076291252e-05,-1.2679866239040995e-06,0.4449707541455738,0.0502094873361292,15.937913392785378,0.5001184149966511,4,floor<->FR|floor<->FL|floor<->RR|floor<->RL
2,0.006,2.469795653172773e-05,-4.0819104703618016e-06,0.4449121806947744,0.09206842195794271,20.933242449461464,0.5004734171489464,4,floor<->FR|floor<->FL|floor<->RR|floor<->RL
3,0.008,3.756695887857626e-05,-8.876359569132103e-06,0.4448237669251339,0.1416974256968573,24.822027986807345,0.5010642797109666,4,floor<->FR|floor<->FL|floor<->RR|floor<->RL
4,0.01,4.5083838504064165e-05,-1.6128062205803302e-05,0.44470512253550676,0.19731351393550042,27.821859270726076,0.5018897972981842,4,floor<->FR|floor<->FL|floor<->RR|floor<->RL
5,0.012,4.41190646966161e-05,-2.619859846953536e-05,0.44455583529789355,0.2574619249541148,30.097134879801445,0.5029482945662216,4,floor<->FR|floor<->FL|floor<->RR|floor<->RL
6,0.014,3.230050671021474e-05,-3.935315906985835e-05,0.4443753974959465,0.3209527770222725,31.780672515641836,0.5042376381462239,4,floor<->FR|floor<->FL|floor<->RR|floor<->RL
7,0.016,7.92466840693879e-06,-5.577519563013724e-05,0.44416314368663684,0.3868120169498881,32.98108019815078,0.5057552516302208,4,floor<->FR|floor<->FL|floor<->RR|floor<->RL
8,0.018000000000000002,-3.011355738542505e-05,-7.557165561261988e-05,0.4439182695368315,0.4542430462846141,33.78803277899907,0.5074981333521409,4,floor<->FR|floor<->FL|floor<->RR|floor<->RL
9,0.020000000000000004,-8.237933403234972e-05,-9.877515671354985e-05,0.44363990608043846,0.5225963972982454,34.27608743292457,0.5094628766701589,4,floor<->FR|floor<->FL|floor<->RR|floor<->RL
10,0.022000000000000006,-0.00014895423163566483,-0.0001253452983872469,0.4433272479113544,0.5915484166589692,34.605920285252985,0.5116456924247124,4,floor<->FR|floor<->FL|floor<->RR|floor<->RL
11,0.024000000000000007,-0.00022904311350868282,-0.00015516697528106002,0.44297951441294064,0.6609808596984033,34.88152089918577,0.5140424332243573,2,floor<->FR|floor<->FL
12,0.02600000000000001,-0.00032219689147613604,-0.00018806233835568905,0.44259534094259795,0.730829358496512,35.12723471488708,0.5166486191987828,2,floor<->FR|floor<->FL
13,0.02800000000000001,-0.0004277301609265101,-0.00022382358954978153,0.44217413534905897,0.8010685512772856,35.36082421103984,0.5194594648545456,2,floor<->FR|floor<->FL
14,0.030000000000000013,-0.0005445446432805961,-0.00026218231791442733,0.4417150649448894,0.8716699360432314,35.581424801928364,0.5224699066738651,2,floor<->FR|floor<->FL
15,0.032000000000000015,-0.000671705769531371,-0.0003028679011290032,0.44121723716373895,0.942616428193326,35.794307538176135,0.5256746311093068,2,floor<->FR|floor<->FL
16,0.034000000000000016,-0.0008081690237597021,-0.0003455994193034359,0.44067967061060326,1.0138977436615069,36.002292993358374,0.5290681026463405,2,floor<->FR|floor<->FL
17,0.03600000000000002,-0.0009528114420783506,-0.0003901054891054566,0.4401013644385561,1.0854173052750342,36.161750018088114,0.5326445916304103,2,floor<->FR|floor<->FL
18,0.03800000000000002,-0.0011054621781157372,-0.0004360767324246777,0.4394817042489044,1.1566223502441653,36.05260037751627,0.5363982015840573,1,floor<->FR
19,0.04000000000000002,-0.0012659536514117507,-0.0004829477659359427,0.4388205820116901,1.2269208186929128,35.66584246724367,0.5403228957715199,1,floor<->FR
20,0.04200000000000002,-0.0014339056687613864,-0.0005303321830055772,0.43811866244620534,1.2949341875890592,34.62072038254873,0.5444125228019201,1,floor<->FR
21,0.044000000000000025,-0.001608637169117848,-0.0005780839080326592,0.4373781857848602,1.3596935104094992,33.120400674151384,0.5486608410964708,0,
22,0.04600000000000003,-0.001789071714247147,-0.0006263257631168691,0.436600666053632,1.420585777832188,31.336077991757843,0.553061542079171,0,
