step,time,base_z,qpos_norm,qvel_norm,ctrl_norm,n_contact,contact_pairs
0,0.002,0.45,0.00015593563475944786,0.0795271779673594,0.5,1,floor<->foot_geom
1,0.004,0.4499810470072804,0.0004632173188487799,0.15699772152007993,0.5001184149966511,1,floor<->foot_geom
2,0.006,0.4499453043189572,0.0009175076021053854,0.23255241838408483,0.5004734171489464,1,floor<->foot_geom
3,0.008,0.44989481471706233,0.0015147074168911413,0.30632642846354036,0.5010642797109666,1,floor<->foot_geom
4,0.01,0.4498315548192074,0.0022509431807755543,0.3784500018658387,0.5018897972981842,1,floor<->foot_geom
5,0.012,0.4497575068725659,0.003122559001861945,0.4490513047128342,0.5029482945662216,1,floor<->foot_geom
6,0.014,0.4496747416359222,0.0041261179845115195,0.518261223145548,0.5042376381462239,1,floor<->foot_geom
7,0.016,0.4495855059187306,0.005258416210390959,0.5862199048323911,0.5057552516302208,1,floor<->foot_geom
8,0.018000000000000002,0.44949230698144527,0.00651651225941457,0.6530845411262038,0.5074981333521409,1,floor<->foot_geom
9,0.020000000000000004,0.44939797969124223,0.007897809786141161,0.719044733198346,0.5094628766701589,1,floor<->foot_geom
10,0.022000000000000006,0.44930521712423976,0.009400069904059487,0.7842840590492689,0.5116456924247124,1,floor<->foot_geom
11,0.024000000000000007,0.4492160676036605,0.011021343309407697,0.8489478212299923,0.5140424332243573,1,floor<->foot_geom
12,0.02600000000000001,0.4491318714880281,0.012759894811698919,0.9131419845888812,0.5166486191987828,1,floor<->foot_geom
13,0.02800000000000001,0.44905329974778735,0.014614136796434843,0.976940455144043,0.5194594648545456,1,floor<->foot_geom
14,0.030000000000000013,0.4489804655458722,0.016582581334906442,1.0403962214259492,0.5224699066738651,1,floor<->foot_geom
15,0.032000000000000015,0.4489130699462808,0.018663831544055074,1.1035655741012091,0.5256746311093068,1,floor<->foot_geom
16,0.034000000000000016,0.44885069282464757,0.02085659001057872,1.1665120374001428,0.5290681026463405,1,floor<->foot_geom
17,0.03600000000000002,0.4487929240099567,0.023159660464848155,1.2292988649852272,0.5326445916304103,1,floor<->foot_geom
18,0.03800000000000002,0.448739363912636,0.025571948727525252,1.291988514089407,0.5363982015840573,1,floor<->foot_geom
19,0.04000000000000002,0.4486896239703942,0.02809246299858123,1.3546422654526526,0.5403228957715199,1,floor<->foot_geom
20,0.04200000000000002,0.4486433269342776,0.03072031359306966,1.4173199443871547,0.5444125228019201,1,floor<->foot_geom
21,0.044000000000000025,0.4486001070153059,0.03345471222560416,1.4800797134312644,0.5486608410964708,1,floor<->foot_geom
22,0.04600000000000003,0.44855960991008803,0.03629497093079506,1.542977916625961,0.553061542079171,1,floor<->foot_geom
23,0.04800000000000003,0.4485214927220201,0.039240500689895395,1.6060689616779165,0.5576082719832955,1,floor<->foot_geom
24,0.05000000000000003,0.4484854237930075,0.04229080981834809,1.6694052304264768,0.5622946521969951,1,floor<->foot_geom
25,0.05200000000000003,0.4484510824591325,0.04544550215595433,1.73303701085641,0.5671142980999463,1,floor<->foot_geom
26,0.054000000000000034,0.4484181587422927,0.048704275091083576,1.7970124458499632,0.5720608363688795,1,floor<->foot_geom
27,0.056000000000000036,0.44838635298856083,0.05206691744241586,1.8613774952363322,0.5771279207527273,1,floor<->foot_geom
28,0.05800000000000004,0.4483553754628517,0.05553330721574412,1.9261759086580281,0.5823092463379808,1,floor<->foot_geom
29,0.06000000000000004,0.4483249459084195,0.05910340924897275,1.991449207453362,0.5875985623416141,1,floor<->foot_geom
30,0.06200000000000004,0.4482947930787459,0.06277727275528812,2.057236674234559,0.5929896834827489,1,floor<->foot_geom
31,0.06400000000000004,0.448264654248503,0.06655502877226364,2.123575349178628,0.5984764999952112,1,floor<->foot_geom
32,0.06600000000000004,0.4482342747094811,0.07043688752316886,2.1905000322832313,0.6040529863515272,1,floor<->foot_geom
33,0.06800000000000005,0.44820340725665836,0.07442313569579971,2.2580432910010453,0.6097132087749255,1,floor<->foot_geom
34,0.07000000000000005,0.44817181166894077,0.0785141336435955,2.3262354727745023,0.6154513316198459,1,floor<->foot_geom
35,0.07200000000000005,0.4481392541885219,0.08271031251354578,2.3951047220636585,0.6212616227035447,1,floor<->foot_geom
36,0.07400000000000005,0.4481055070022909,0.08701217130533548,2.464677001504696,0.6271384576719281,1,floor<->foot_geom
37,0.07600000000000005,0.4480703477282515,0.09142027386626173,2.5349761168636573,0.6330763234819563,1,floor<->foot_geom
38,0.07800000000000006,0.44803355890949786,0.09593524582663274,2.6060237454657478,0.6390698210811162,1,floor<->foot_geom
39,0.08000000000000006,0.4479949275179253,0.10055777148058928,2.677839467789519,0.6451136673617524,1,floor<->foot_geom
40,0.08200000000000006,0.4479542444695227,0.10528859061754471,2.7504408019208473,0.6512026964646849,1,floor<->foot_geom
41,0.08400000000000006,0.4479113041528066,0.11012849530969883,2.8238432405661995,0.6573318605026957,1,floor<->foot_geom
42,0.08600000000000006,0.4478659039716978,0.11507832666133011,2.898060290329905,0.6634962297702911,1,floor<->foot_geom
43,0.08800000000000006,0.4478178439039192,0.12013897152579738,2.973103512967018,0.6696909925017661,1,floor<->foot_geom
44,0.09000000000000007,0.44776692607579593,0.1253113591963808,3.0489825683325322,0.6759114542351226,1,floor<->foot_geom
45,0.09200000000000007,0.4477129543541669,0.13059645807725753,3.1257052587594334,0.6821530368349158,1,floor<->foot_geom
46,0.09400000000000007,0.44765573395597025,0.13599527234103687,3.203277574612294,0.688411277222691,1,floor<->foot_geom
47,0.09600000000000007,0.4475950710759343,0.1415088385793749,3.2817037407798377,0.6946818258593822,1,floor<->foot_geom
48,0.09800000000000007,0.4475307725326978,0.14713822245324637,3.360986263888595,0.7009604450199249,1,floor<->foot_geom
49,0.10000000000000007,0.44746264543358616,0.1528845153494768,3.4411259800402787,0.7072430068964134,1,floor<->foot_geom
50,0.10200000000000008,0.4473904968581928,0.15874883105013063,3.522122102897231,0.7135254915624214,1,floor<->foot_geom
51,0.10400000000000008,0.4473141335608437,0.16473230242131404,3.6039722719629483,0.7198039848276468,1,floor<->foot_geom
52,0.10600000000000008,0.4472333616919677,0.17083607812788823,3.6866726009276163,0.7260746760088036,1,floor<->foot_geom
53,0.10800000000000008,0.44714798653834625,0.17706131938050043,3.77021772597158,0.7323338556396963,1,floor<->foot_geom
54,0.11000000000000008,0.44705781228217517,0.1834091967212315,3.854600853942203,0.7385779131406719,1,floor<->foot_geom
55,0.11200000000000009,0.4469626417788374,0.18988088685403032,3.939813810341195,0.7448033344651148,1,floor<->foot_geom
56,0.11400000000000009,0.44686227635325665,0.19647756952596154,4.025847087080097,0.7510066997383704,1,floor<->foot_geom
57,0.11600000000000009,0.4467565156146788,0.20320042446513384,4.112689889980667,0.7571846809023947,1,floor<->foot_geom
58,0.11800000000000009,0.4466451572897043,0.21005062838100455,4.20033018601433,0.7633340393775485,1,floor<->foot_geom
59,0.12000000000000009,0.44652799707337976,0.21702935203257506,4.288754750290355,0.7694516237512737,1,floor<->foot_geom
60,0.1220000000000001,0.4464048284981379,0.2229310791001738,3.894958063786099,0.7755343675018587,1,floor<->foot_geom
61,0.1240000000000001,0.44629555549731653,0.22795001307846652,3.631872317903419,0.7815792867641612,1,floor<->foot_geom
62,0.12600000000000008,0.44619883609610966,0.23225544410642976,3.4751895331213785,0.7875834781429478,1,floor<->foot_geom
63,0.12800000000000009,0.44611341872112126,0.23599435183498874,3.400357039336025,0.7935441165784406,1,floor<->foot_geom
64,0.1300000000000001,0.4460381345452914,0.2392939414720479,3.384925373800349,0.7994584532677266,1,floor<->foot_geom
65,0.1320000000000001,0.44597189227323936,0.24226399780575486,3.410290643530452,0.8053238136448548,1,floor<->foot_geom
66,0.1340000000000001,0.4459136743058033,0.24499901538321497,3.462269879134383,0.8111375954217195,1,floor<->foot_geom
