step,time,base_x,base_y,base_z,roll,pitch,yaw,torque_norm,torque_max_abs,torque_saturation,n_contact,contact_pairs
0,0.002,0.0,0.0,0.28480584648330304,-1.2181847323743971e-05,0.0004242126275728479,-3.0238710475573553e-07,0.0,0.0,0,4,floor<->FR|floor<->FL|floor<->RR|floor<->RL
1,0.004,-3.371664115286053e-05,-4.9436512318310566e-08,0.2848843983182138,-2.081216034193193e-05,0.00039815522858382973,-2.708663957665504e-07,38.31115767324728,16.604605326939662,0,4,floor<->FR|floor<->FL|floor<->RR|floor<->RL
2,0.006,-2.3126630944819898e-05,-5.795539749632135e-09,0.2848809425133381,-3.6307717920494005e-05,0.0007713217389016398,-6.68896093002526e-07,19.320295704588023,8.461671026426387,0,4,floor<->FR|floor<->FL|floor<->RR|floor<->RL
3,0.008,-5.472039542385602e-05,2.833740201529077e-09,0.284908336507327,-3.356678227256519e-05,0.0005618908964309583,-6.420747886666262e-07,30.53707956492498,12.742772071681719,0,4,floor<->FR|floor<->FL|floor<->RR|floor<->RL
4,0.01,-5.099909561952593e-05,9.602804389437493e-08,0.2847166543621498,-5.072877001457856e-05,0.0008651881571782109,-1.0335667989949048e-06,15.97135232844944,6.586273143940778,0,4,floor<->FR|floor<->FL|floor<->RR|floor<->RL
5,0.012,-8.154082382818392e-05,1.5825880326141971e-07,0.2846670073663831,-6.522604701433205e-05,0.0007329365536712304,-1.0868407132157487e-06,25.846763659348277,10.092297399637216,0,4,floor<->FR|floor<->FL|floor<->RR|floor<->RL
6,0.014,-6.799211627592568e-05,3.0566713201233914e-07,0.28454326559443766,-8.861111565426452e-05,0.0010166392470167575,-1.6596058240575859e-06,26.12387645270811,10.158882409629562,0,4,floor<->FR|floor<->FL|floor<->RR|floor<->RL
7,0.016,-9.834007122903033e-05,4.04191916992919e-07,0.28446509812558424,-9.419556300268316e-05,0.0007265988983923091,-1.789621187128488e-06,21.78018721255027,8.040063962314637,0,4,floor<->FR|floor<->FL|floor<->RR|floor<->RL
8,0.018000000000000002,-9.327731643274086e-05,5.779636759842314e-07,0.2841731732378259,-0.00011878285727247362,0.0009554962197063702,-2.2579983296429315e-06,23.91858067926253,10.94872948824883,0,4,floor<->FR|floor<->FL|floor<->RR|floor<->RL
9,0.020000000000000004,-0.0001232195126875833,7.265536295919013e-07,0.28402721070223474,-0.00014079347866551974,0.0007534710325538382,-2.3710163816038755e-06,20.257278679533396,8.019888795707523,0,4,floor<->FR|floor<->FL|floor<->RR|floor<->RL
10,0.022000000000000006,-0.0001087703070182655,9.577226186774055e-07,0.2838105186957507,-0.00017119851004334703,0.0009714745237295639,-3.0510467262988747e-06,31.06762472259575,13.476491881237695,0,4,floor<->FR|floor<->FL|floor<->RR|floor<->RL
11,0.024000000000000007,-0.00013851188527522372,1.1095833806186674e-06,0.2836370744342929,-0.00018381895650982895,0.0006182468989962008,-3.2549893992746783e-06,18.279822344504176,7.844763955637024,0,4,floor<->FR|floor<->FL|floor<->RR|floor<->RL
