time,leg,phase,state,contact,swing_phase,foot_x,foot_y,foot_z,foothold_x,foothold_y,foothold_z
0.0,FR,0.0,stance,1,0.0,0.1881,-0.12675,0.019,0.2071,-0.12675,0.019
0.0,FL,0.5,swing,0,0.0,0.1881,0.12675,0.019,0.2071,0.12675,0.019
0.0,RR,0.5,swing,0,0.0,-0.1881,-0.12675,0.019,-0.16909999999999997,-0.12675,0.019
0.0,RL,0.0,stance,1,0.0,-0.1881,0.12675,0.019,-0.16909999999999997,0.12675,0.019
0.01,FR,0.02,stance,1,0.0,0.1881,-0.12675,0.019,0.2071,-0.12675,0.019
0.01,FL,0.52,swing,0,0.040000000000000036,0.18818876799999998,0.12675,0.028216000000000005,0.2071,0.12675,0.019
0.01,RR,0.52,swing,0,0.040000000000000036,-0.188011232,-0.12675,0.028216000000000005,-0.16909999999999997,-0.12675,0.019
0.01,RL,0.02,stance,1,0.0,-0.1881,0.12675,0.019,-0.16909999999999997,0.12675,0.019
0.02,FR,0.04,stance,1,0.0,0.1881,-0.12675,0.019,0.2071,-0.12675,0.019
0.02,FL,0.54,swing,0,0.08000000000000007,0.188445344,0.12675,0.036664000000000016,0.2071,0.12675,0.019
0.02,RR,0.54,swing,0,0.08000000000000007,-0.18775465599999996,-0.12675,0.036664000000000016,-0.16909999999999997,-0.12675,0.019
0.02,RL,0.04,stance,1,0.0,-0.1881,0.12675,0.019,-0.16909999999999997,0.12675,0.019
0.03,FR,0.06,stance,1,0.0,0.1881,-0.12675,0.019,0.2071,-0.12675,0.019
0.03,FL,0.56,swing,0,0.1200000000000001,0.18885513599999998,0.12675,0.044344000000000015,0.2071,0.12675,0.019
0.03,RR,0.56,swing,0,0.1200000000000001,-0.187344864,-0.12675,0.044344000000000015,-0.16909999999999997,-0.12675,0.019
0.03,RL,0.06,stance,1,0.0,-0.1881,0.12675,0.019,-0.16909999999999997,0.12675,0.019
0.04,FR,0.08,stance,1,0.0,0.1881,-0.12675,0.019,0.2071,-0.12675,0.019
0.04,FL,0.58,swing,0,0.15999999999999992,0.189403552,0.12675,0.05125599999999998,0.2071,0.12675,0.019
0.04,RR,0.58,swing,0,0.15999999999999992,-0.186796448,-0.12675,0.05125599999999998,-0.16909999999999997,-0.12675,0.019
0.04,RL,0.08,stance,1,0.0,-0.1881,0.12675,0.019,-0.16909999999999997,0.12675,0.019
0.05,FR,0.1,stance,1,0.0,0.1881,-0.12675,0.019,0.2071,-0.12675,0.019
0.05,FL,0.6,swing,0,0.19999999999999996,0.19007599999999997,0.12675,0.05739999999999999,0.2071,0.12675,0.019
0.05,RR,0.6,swing,0,0.19999999999999996,-0.18612399999999996,-0.12675,0.05739999999999999,-0.16909999999999997,-0.12675,0.019
0.05,RL,0.1,stance,1,0.0,-0.1881,0.12675,0.019,-0.16909999999999997,0.12675,0.019
