step,time,base_z,roll,pitch,yaw,torque_norm,torque_max_abs,torque_saturation,FR_contact_cmd,FL_contact_cmd,RR_contact_cmd,RL_contact_cmd,FR_phase,FL_phase,RR_phase,RL_phase,FR_swing_phase,FL_swing_phase,RR_swing_phase,RL_swing_phase,n_contact,contact_pairs
0,0.002,0.28480584648330304,-1.2181847323743971e-05,0.0004242126275728479,-3.0238710475573553e-07,0.0,0.0,0,1,1,1,1,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,4,floor<->FR|floor<->FL|floor<->RR|floor<->RL
1,0.004,0.2848843983182138,8.971161359116671e-05,0.000341403964885978,-1.354665574343097e-05,19.15557883662364,8.302302663469831,0,1,1,1,1,0.002,0.502,0.502,0.002,0.0,0.0,0.0,0.0,4,floor<->FR|floor<->FL|floor<->RR|floor<->RL
2,0.006,0.2848733529718181,0.00017092781463197413,0.0006613098262259025,-2.6001666445633228e-05,9.03318201842595,4.3035347681947345,0,1,1,1,1,0.004,0.504,0.504,0.004,0.0,0.0,0.0,0.0,4,floor<->FR|floor<->FL|floor<->RR|floor<->RL
3,0.008,0.28489355815814943,-0.0015782551106954146,0.0006744572448812033,0.00018474950944613792,15.287812448692849,6.433635124451025,0,1,1,1,1,0.006,0.506,0.506,0.006,0.0,0.0,0.0,0.0,4,floor<->FR|floor<->FL|floor<->RR|floor<->RL
4,0.01,0.28473293996083365,-0.0011332520272061886,0.0009999969282950022,0.00013675469280118277,10.30058756937837,5.3076804896076615,0,1,1,1,1,0.008,0.508,0.508,0.008,0.0,0.0,0.0,0.0,4,floor<->FR|floor<->FL|floor<->RR|floor<->RL
5,0.012,0.28468579026869467,0.0008761521136508419,0.0006451755610943119,-0.0001560200109640143,12.91692635435155,5.219274541283036,0,1,1,1,1,0.01,0.51,0.51,0.01,0.0,0.0,0.0,0.0,4,floor<->FR|floor<->FL|floor<->RR|floor<->RL
6,0.014,0.28452218053564954,0.0006154338056598123,0.0008922017377861107,-0.0001932999483909062,13.02693452592352,5.341817035499438,0,1,1,1,1,0.012,0.512,0.512,0.012,0.0,0.0,0.0,0.0,4,floor<->FR|floor<->FL|floor<->RR|floor<->RL
7,0.016,0.28443196932679937,0.001882902006922853,0.0008567951778770016,-3.505644858011269e-05,11.050611486806588,4.125286311716445,0,1,1,1,1,0.014,0.514,0.514,0.014,0.0,0.0,0.0,0.0,4,floor<->FR|floor<->FL|floor<->RR|floor<->RL
8,0.018000000000000002,0.2842264230135582,0.0008973770566359981,0.0010950034072252088,-9.770953306855349e-05,14.091476378405906,6.033060005834674,0,1,1,1,1,0.016,0.516,0.516,0.016,0.0,0.0,0.0,0.0,4,floor<->FR|floor<->FL|floor<->RR|floor<->RL
9,0.020000000000000004,0.28409277755135764,0.0035357865112258836,0.0008553536407886736,-0.0002506376581963042,10.030153236597869,4.078206247979847,0,1,1,1,1,0.018000000000000002,0.518,0.518,0.018000000000000002,0.0,0.0,0.0,0.0,4,floor<->FR|floor<->FL|floor<->RR|floor<->RL
