knot,time,mode,leg,active,z,vz,z_next,vz_next,fx,fy,fz,sum_fz,vertical_accel,dyn_z_residual,dyn_vz_residual,z_error,inactive_force_norm,knot_pass
0,0.12,trot_FR_RL,FR,1,0.26581450872171175,1.0533468413273932e-08,0.2658148703822854,-4.398447896174821e-06,-3.232471395237975e-19,0.0,62.50520892518627,125.01041784926528,-0.0002202724674447154,3.614499042873434e-07,-3.5320156937867237e-09,3.6936292907574497e-07,5.543265217733215e-10,True
0,0.12,trot_FR_RL,FL,0,0.26581450872171175,1.0533468413273932e-08,0.2658148703822854,-4.398447896174821e-06,0.0,0.0,-5.543265217733215e-10,125.01041784926528,-0.0002202724674447154,3.614499042873434e-07,-3.5320156937867237e-09,3.6936292907574497e-07,5.543265217733215e-10,True
0,0.12,trot_FR_RL,RR,0,0.26581450872171175,1.0533468413273932e-08,0.2658148703822854,-4.398447896174821e-06,0.0,0.0,-5.543265217733215e-10,125.01041784926528,-0.0002202724674447154,3.614499042873434e-07,-3.5320156937867237e-09,3.6936292907574497e-07,5.543265217733215e-10,True
0,0.12,trot_FR_RL,RL,1,0.26581450872171175,1.0533468413273932e-08,0.2658148703822854,-4.398447896174821e-06,0.0,0.0,62.505208925187674,125.01041784926528,-0.0002202724674447154,3.614499042873434e-07,-3.5320156937867237e-09,3.6936292907574497e-07,5.543265217733215e-10,True
1,0.13999999999999999,trot_FR_RL,FR,1,0.2658148703822854,-4.398447896174821e-06,0.26581512820206893,-2.7251516537916468e-06,0.0,0.0,62.50714517478381,125.01429034991652,8.36092332718863e-05,3.45788741445847e-07,1.1115769454483695e-09,7.310235027313539e-07,1.7445465618290184e-10,True
1,0.13999999999999999,trot_FR_RL,FL,0,0.2658148703822854,-4.398447896174821e-06,0.26581512820206893,-2.7251516537916468e-06,0.0,0.0,1.7445465618290184e-10,125.01429034991652,8.36092332718863e-05,3.45788741445847e-07,1.1115769454483695e-09,7.310235027313539e-07,1.7445465618290184e-10,True
1,0.13999999999999999,trot_FR_RL,RR,0,0.2658148703822854,-4.398447896174821e-06,0.26581512820206893,-2.7251516537916468e-06,0.0,0.0,1.7445465618290184e-10,125.01429034991652,8.36092332718863e-05,3.45788741445847e-07,1.1115769454483695e-09,7.310235027313539e-07,1.7445465618290184e-10,True
1,0.13999999999999999,trot_FR_RL,RL,1,0.2658148703822854,-4.398447896174821e-06,0.26581512820206893,-2.7251516537916468e-06,0.0,0.0,62.50714517478381,125.01429034991652,8.36092332718863e-05,3.45788741445847e-07,1.1115769454483695e-09,7.310235027313539e-07,1.7445465618290184e-10,True
2,0.16,trot_FR_RL,FR,1,0.26581512820206893,-2.7251516537916468e-06,0.2658153982803602,-2.8444571945142845e-06,0.0,0.0,62.5065743747411,125.0131487495375,-5.974086644044974e-06,3.245813243626123e-07,1.7619215826174952e-10,9.888432862537044e-07,2.7652206054274267e-11,True
2,0.16,trot_FR_RL,FL,0,0.26581512820206893,-2.7251516537916468e-06,0.2658153982803602,-2.8444571945142845e-06,0.0,0.0,2.7652206054274267e-11,125.0131487495375,-5.974086644044974e-06,3.245813243626123e-07,1.7619215826174952e-10,9.888432862537044e-07,2.7652206054274267e-11,True
