mode,knot,swing_legs,stance_legs,source_knot_pass,source_mode_pass,FR_q_hip,FR_q_hip_in_limit,FR_q_thigh,FR_q_thigh_in_limit,FR_q_calf,FR_q_calf_in_limit,FL_q_hip,FL_q_hip_in_limit,FL_q_thigh,FL_q_thigh_in_limit,FL_q_calf,FL_q_calf_in_limit,RR_q_hip,RR_q_hip_in_limit,RR_q_thigh,RR_q_thigh_in_limit,RR_q_calf,RR_q_calf_in_limit,RL_q_hip,RL_q_hip_in_limit,RL_q_thigh,RL_q_thigh_in_limit,RL_q_calf,RL_q_calf_in_limit,max_abs_delta_from_standing,joint_limit_pass,pass
trot_FR_RL,0,"FL,RR","FR,RL",True,True,0.000000000000,True,0.900000000000,True,-1.800000000000,True,0.003849155244,True,0.947411484980,True,-1.920000000000,True,-0.003849155244,True,0.947411484980,True,-1.920000000000,True,0.000000000000,True,0.900000000000,True,-1.800000000000,True,0.120000000000,True,True
trot_FR_RL,1,"FL,RR","FR,RL",True,True,0.000000000000,True,0.900000000000,True,-1.800000000000,True,0.004130169806,True,0.983605535521,True,-2.021503639389,True,-0.004130169806,True,0.983605535521,True,-2.021503639389,True,0.000000000000,True,0.900000000000,True,-1.800000000000,True,0.221503639389,True,True
trot_FR_RL,2,"FL,RR","FR,RL",True,True,0.000000000000,True,0.900000000000,True,-1.800000000000,True,0.004347181480,True,0.999987153157,True,-2.086554774031,True,-0.004347181480,True,0.999987153157,True,-2.086554774031,True,0.000000000000,True,0.900000000000,True,-1.800000000000,True,0.286554774031,True,True
trot_FR_RL,3,"FL,RR","FR,RL",True,True,0.000000000000,True,0.900000000000,True,-1.800000000000,True,0.004467712516,True,0.998929165930,True,-2.117885576296,True,-0.004467712516,True,0.998929165930,True,-2.117885576296,True,0.000000000000,True,0.900000000000,True,-1.800000000000,True,0.317885576296,True,True
trot_FR_RL,4,"FL,RR","FR,RL",True,True,0.000000000000,True,0.900000000000,True,-1.800000000000,True,0.004467628998,True,0.982444615674,True,-2.116809287664,True,-0.004467628998,True,0.982444615674,True,-2.116809287664,True,0.000000000000,True,0.900000000000,True,-1.800000000000,True,0.316809287664,True,True
trot_FR_RL,5,"FL,RR","FR,RL",True,True,0.000000000000,True,0.900000000000,True,-1.800000000000,True,0.004340043862,True,0.952113212231,True,-2.083674614400,True,-0.004340043862,True,0.952113212231,True,-2.083674614400,True,0.000000000000,True,0.900000000000,True,-1.800000000000,True,0.283674614400,True,True
trot_FR_RL,6,"FL,RR","FR,RL",True,True,0.000000000000,True,0.900000000000,True,-1.800000000000,True,0.004099015857,True,0.908748628830,True,-2.017966459206,True,-0.004099015857,True,0.908748628830,True,-2.017966459206,True,0.000000000000,True,0.900000000000,True,-1.800000000000,True,0.217966459206,True,True
trot_FR_RL,7,"FL,RR","FR,RL",True,True,0.000000000000,True,0.900000000000,True,-1.800000000000,True,0.003775227395,True,0.852047361307,True,-1.918135610401,True,-0.003775227395,True,0.852047361307,True,-1.918135610401,True,0.000000000000,True,0.900000000000,True,-1.800000000000,True,0.118135610401,True,True
trot_FR_RL,8,"FL,RR","FR,RL",True,True,0.000000000000,True,0.900000000000,True,-1.800000000000,True,-0.000199379332,True,0.788711729387,True,-1.798135610401,True,0.000199379332,True,0.788711729387,True,-1.798135610401,True,0.000000000000,True,0.900000000000,True,-1.800000000000,True,0.111288270613,True,True
trot_FL_RR,0,"FR,RL","FL,RR",True,True,-0.003849155244,True,0.947411484980,True,-1.920000000000,True,0.000000000000,True,0.900000000000,True,-1.800000000000,True,0.000000000000,True,0.900000000000,True,-1.800000000000,True,0.003849155244,True,0.947411484980,True,-1.920000000000,True,0.120000000000,True,True
trot_FL_RR,1,"FR,RL","FL,RR",True,True,-0.004130169806,True,0.983605535521,True,-2.021503639389,True,0.000000000000,True,0.900000000000,True,-1.800000000000,True,0.000000000000,True,0.900000000000,True,-1.800000000000,True,0.004130169806,True,0.983605535521,True,-2.021503639389,True,0.221503639389,True,True
trot_FL_RR,2,"FR,RL","FL,RR",True,True,-0.004347181480,True,0.999987153157,True,-2.086554774031,True,0.000000000000,True,0.900000000000,True,-1.800000000000,True,0.000000000000,True,0.900000000000,True,-1.800000000000,True,0.004347181480,True,0.999987153157,True,-2.086554774031,True,0.286554774031,True,True
trot_FL_RR,3,"FR,RL","FL,RR",True,True,-0.004467712516,True,0.998929165930,True,-2.117885576296,True,0.000000000000,True,0.900000000000,True,-1.800000000000,True,0.000000000000,True,0.900000000000,True,-1.800000000000,True,0.004467712516,True,0.998929165930,True,-2.117885576296,True,0.317885576296,True,True
trot_FL_RR,4,"FR,RL","FL,RR",True,True,-0.004467628998,True,0.982444615674,True,-2.116809287664,True,0.000000000000,True,0.900000000000,True,-1.800000000000,True,0.000000000000,True,0.900000000000,True,-1.800000000000,True,0.004467628998,True,0.982444615674,True,-2.116809287664,True,0.316809287664,True,True
trot_FL_RR,5,"FR,RL","FL,RR",True,True,-0.004340043862,True,0.952113212231,True,-2.083674614400,True,0.000000000000,True,0.900000000000,True,-1.800000000000,True,0.000000000000,True,0.900000000000,True,-1.800000000000,True,0.004340043862,True,0.952113212231,True,-2.083674614400,True,0.283674614400,True,True
trot_FL_RR,6,"FR,RL","FL,RR",True,True,-0.004099015857,True,0.908748628830,True,-2.017966459206,True,0.000000000000,True,0.900000000000,True,-1.800000000000,True,0.000000000000,True,0.900000000000,True,-1.800000000000,True,0.004099015857,True,0.908748628830,True,-2.017966459206,True,0.217966459206,True,True
trot_FL_RR,7,"FR,RL","FL,RR",True,True,-0.003775227395,True,0.852047361307,True,-1.918135610401,True,0.000000000000,True,0.900000000000,True,-1.800000000000,True,0.000000000000,True,0.900000000000,True,-1.800000000000,True,0.003775227395,True,0.852047361307,True,-1.918135610401,True,0.118135610401,True,True
trot_FL_RR,8,"FR,RL","FL,RR",True,True,0.000199379332,True,0.788711729387,True,-1.798135610401,True,0.000000000000,True,0.900000000000,True,-1.800000000000,True,0.000000000000,True,0.900000000000,True,-1.800000000000,True,-0.000199379332,True,0.788711729387,True,-1.798135610401,True,0.111288270613,True,True
