metric,value
stage,Stage 8.6
test_name,active_leg_order_refactor_and_regression
patched_files,scripts/stage07_online_full_wbc_scheduler_recommended_run.py;scripts/stage07_online_stance_pd_wbc_plus_swing_pd_recommended_test.py
rerun_stage83_ab_pass,True
rerun_original_pass,True
rerun_adapter_pass,True
rerun_original_pass_margin,True
rerun_adapter_pass_margin,True
rerun_stage85_triage_pass,True
active_dependency_findings_after_refactor,3
active_high_severity_findings_after_refactor,0
active_medium_severity_findings_after_refactor,2
active_low_severity_findings_after_refactor,1
num_checks,16
num_failed_checks,0
pass,True
log_csv,results/logs_sample/stage08_active_leg_order_refactor_and_regression_log.csv
summary_csv,results/logs_sample/stage08_active_leg_order_refactor_and_regression_summary.csv
