bucket,stage_family,file,line,pattern,severity,match,meaning
legacy_or_nonactive_script,Stage 0,scripts/stage00_inspect_go1_model.py,62,direct_frame_or_foot_name_contract,low,"bid = mujoco.mj_name2id(model, mujoco.mjtObj.mjOBJ_BODY, name)",Possible direct foot name/frame contract use.
legacy_or_nonactive_script,Stage 0,scripts/stage00_torque_control_demo.py,16,direct_frame_or_foot_name_contract,low,"body_id = mujoco.mj_name2id(model, mujoco.mjtObj.mjOBJ_BODY, requested_name)",Possible direct foot name/frame contract use.
legacy_or_nonactive_script,Stage 0,scripts/stage00_torque_control_demo.py,23,direct_frame_or_foot_name_contract,low,"body_id = mujoco.mj_name2id(model, mujoco.mjtObj.mjOBJ_BODY, name)",Possible direct foot name/frame contract use.
legacy_or_nonactive_script,Stage 2,scripts/stage02_check_pinocchio_jacobian.py,12,direct_frame_or_foot_name_contract,low,"""FR"": ""FR_foot"",",Possible direct foot name/frame contract use.
legacy_or_nonactive_script,Stage 2,scripts/stage02_check_pinocchio_jacobian.py,13,direct_frame_or_foot_name_contract,low,"""FL"": ""FL_foot"",",Possible direct foot name/frame contract use.
legacy_or_nonactive_script,Stage 2,scripts/stage02_check_pinocchio_jacobian.py,14,direct_frame_or_foot_name_contract,low,"""RR"": ""RR_foot"",",Possible direct foot name/frame contract use.
legacy_or_nonactive_script,Stage 2,scripts/stage02_check_pinocchio_jacobian.py,15,direct_frame_or_foot_name_contract,low,"""RL"": ""RL_foot"",",Possible direct foot name/frame contract use.
legacy_or_nonactive_script,Stage 2,scripts/stage02_check_pinocchio_jacobian.py,24,mujoco_free_joint_qw_index,high,"pin_q[3:7] = np.array([mj_qpos[4], mj_qpos[5], mj_qpos[6], mj_qpos[3]])",Likely MuJoCo quaternion scalar qw index.
legacy_or_nonactive_script,Stage 2,scripts/stage02_check_pinocchio_jacobian.py,63,direct_frame_or_foot_name_contract,low,fid = model.getFrameId(frame_name),Possible direct foot name/frame contract use.
legacy_or_nonactive_script,Stage 2,scripts/stage02_compare_foot_velocity.py,12,direct_frame_or_foot_name_contract,low,"""FR"": (""FR"", ""FR_foot""),",Possible direct foot name/frame contract use.
legacy_or_nonactive_script,Stage 2,scripts/stage02_compare_foot_velocity.py,13,direct_frame_or_foot_name_contract,low,"""FL"": (""FL"", ""FL_foot""),",Possible direct foot name/frame contract use.
legacy_or_nonactive_script,Stage 2,scripts/stage02_compare_foot_velocity.py,14,direct_frame_or_foot_name_contract,low,"""RR"": (""RR"", ""RR_foot""),",Possible direct foot name/frame contract use.
legacy_or_nonactive_script,Stage 2,scripts/stage02_compare_foot_velocity.py,15,direct_frame_or_foot_name_contract,low,"""RL"": (""RL"", ""RL_foot""),",Possible direct foot name/frame contract use.
legacy_or_nonactive_script,Stage 2,scripts/stage02_compare_foot_velocity.py,31,mujoco_free_joint_qw_index,high,"mj_qpos[3],",Likely MuJoCo quaternion scalar qw index.
legacy_or_nonactive_script,Stage 2,scripts/stage02_compare_foot_velocity.py,106,direct_frame_or_foot_name_contract,low,"geom_id = mujoco.mj_name2id(mj_model, mujoco.mjtObj.mjOBJ_GEOM, mj_geom_name)",Possible direct foot name/frame contract use.
legacy_or_nonactive_script,Stage 2,scripts/stage02_compare_foot_velocity.py,110,direct_frame_or_foot_name_contract,low,frame_id = pin_model.getFrameId(pin_frame_name),Possible direct foot name/frame contract use.
legacy_or_nonactive_script,Stage 2,scripts/stage02_compare_full_foot_velocity.py,12,direct_frame_or_foot_name_contract,low,"""FR"": (""FR"", ""FR_foot""),",Possible direct foot name/frame contract use.
legacy_or_nonactive_script,Stage 2,scripts/stage02_compare_full_foot_velocity.py,13,direct_frame_or_foot_name_contract,low,"""FL"": (""FL"", ""FL_foot""),",Possible direct foot name/frame contract use.
legacy_or_nonactive_script,Stage 2,scripts/stage02_compare_full_foot_velocity.py,14,direct_frame_or_foot_name_contract,low,"""RR"": (""RR"", ""RR_foot""),",Possible direct foot name/frame contract use.
legacy_or_nonactive_script,Stage 2,scripts/stage02_compare_full_foot_velocity.py,15,direct_frame_or_foot_name_contract,low,"""RL"": (""RL"", ""RL_foot""),",Possible direct foot name/frame contract use.
