metric,value
stage,Stage 8.5
test_name,runtime_mapping_audit_triage
audit_log,results/logs_sample/stage08_runtime_mapping_duplication_audit_log.csv
audit_summary,results/logs_sample/stage08_runtime_mapping_duplication_audit_summary.csv
audit_pass,True
entrypoints,scripts/stage07_online_stance_pd_wbc_plus_swing_pd_recommended_test.py;scripts/stage08_adapter_backed_stage07_recommended_test.py
active_dependency_file_count,4
active_files_with_findings,2
legacy_files_with_findings,66
total_findings,244
active_dependency_findings,3
legacy_or_nonactive_findings,241
active_high_severity_findings,0
active_medium_severity_findings,2
active_low_severity_findings,1
total_high_severity_findings,85
total_medium_severity_findings,55
total_low_severity_findings,104
pass,True
log_csv,results/logs_sample/stage08_runtime_mapping_audit_triage_log.csv
summary_csv,results/logs_sample/stage08_runtime_mapping_audit_triage_summary.csv
