metric,value
stage,Stage 9.7
test_name,stage09_0_6_interface_mirror_freeze_summary
stage90_pass,True
stage91_pass,True
stage92_pass,True
stage93_pass,True
stage94_pass,True
stage95_pass,True
stage96_pass,True
freeze_file_count,16
missing_file_count,0
control_law_changed,False
torque_command_published_by_stage97,False
stage9_scope,interface_mirror_freeze_summary_only
baseline_type,mixed_online_control_baseline
ros2_cpp_interface_mirror_frozen,True
ros2_cpp_realtime_controller_completed,False
pure_wbc_locomotion_completed,False
ekf_completed,False
full_3d_centroidal_mpc_completed,False
num_checks,24
num_failed_checks,0
pass,True
log_csv,results/logs_sample/stage09_0_6_interface_mirror_freeze_log.csv
hash_csv,results/logs_sample/stage09_0_6_interface_mirror_freeze_hashes.csv
summary_csv,results/logs_sample/stage09_0_6_interface_mirror_freeze_summary.csv
doc,docs/STAGE09_0_6_INTERFACE_MIRROR_FREEZE_SUMMARY.md
