sample_idx,topic,expected_type,observed_type,type_match,publisher_count,subscription_count,type_returncode,info_returncode,type_error,info_error
0,/go1/joint_states,sensor_msgs/msg/JointState,sensor_msgs/msg/JointState,True,1,1,0,0,,
0,/go1/base_state,std_msgs/msg/Float64MultiArray,std_msgs/msg/Float64MultiArray,True,1,1,0,0,,
0,/go1/imu,sensor_msgs/msg/Imu,sensor_msgs/msg/Imu,True,1,1,0,0,,
0,/go1/foot_contacts,std_msgs/msg/Int32MultiArray,std_msgs/msg/Int32MultiArray,True,1,1,0,0,,
0,/go1/sim_time,std_msgs/msg/Float64,std_msgs/msg/Float64,True,1,1,0,0,,
0,/go1/joint_torque_cmd,std_msgs/msg/Float64MultiArray,std_msgs/msg/Float64MultiArray,True,0,2,0,0,,
1,/go1/joint_states,sensor_msgs/msg/JointState,sensor_msgs/msg/JointState,True,1,1,0,0,,
1,/go1/base_state,std_msgs/msg/Float64MultiArray,std_msgs/msg/Float64MultiArray,True,1,1,0,0,,
1,/go1/imu,sensor_msgs/msg/Imu,sensor_msgs/msg/Imu,True,1,1,0,0,,
1,/go1/foot_contacts,std_msgs/msg/Int32MultiArray,std_msgs/msg/Int32MultiArray,True,1,1,0,0,,
1,/go1/sim_time,std_msgs/msg/Float64,std_msgs/msg/Float64,True,1,1,0,0,,
1,/go1/joint_torque_cmd,std_msgs/msg/Float64MultiArray,std_msgs/msg/Float64MultiArray,True,0,2,0,0,,
2,/go1/joint_states,sensor_msgs/msg/JointState,sensor_msgs/msg/JointState,True,1,1,0,0,,
2,/go1/base_state,std_msgs/msg/Float64MultiArray,std_msgs/msg/Float64MultiArray,True,1,1,0,0,,
2,/go1/imu,sensor_msgs/msg/Imu,sensor_msgs/msg/Imu,True,1,1,0,0,,
2,/go1/foot_contacts,std_msgs/msg/Int32MultiArray,std_msgs/msg/Int32MultiArray,True,1,1,0,0,,
2,/go1/sim_time,std_msgs/msg/Float64,std_msgs/msg/Float64,True,1,1,0,0,,
2,/go1/joint_torque_cmd,std_msgs/msg/Float64MultiArray,std_msgs/msg/Float64MultiArray,True,0,2,0,0,,
3,/go1/joint_states,sensor_msgs/msg/JointState,sensor_msgs/msg/JointState,True,1,1,0,0,,
3,/go1/base_state,std_msgs/msg/Float64MultiArray,std_msgs/msg/Float64MultiArray,True,1,1,0,0,,
3,/go1/imu,sensor_msgs/msg/Imu,sensor_msgs/msg/Imu,True,1,1,0,0,,
3,/go1/foot_contacts,std_msgs/msg/Int32MultiArray,std_msgs/msg/Int32MultiArray,True,1,1,0,0,,
3,/go1/sim_time,std_msgs/msg/Float64,std_msgs/msg/Float64,True,1,1,0,0,,
3,/go1/joint_torque_cmd,std_msgs/msg/Float64MultiArray,std_msgs/msg/Float64MultiArray,True,0,2,0,0,,
4,/go1/joint_states,sensor_msgs/msg/JointState,sensor_msgs/msg/JointState,True,1,1,0,0,,
4,/go1/base_state,std_msgs/msg/Float64MultiArray,std_msgs/msg/Float64MultiArray,True,1,1,0,0,,
4,/go1/imu,sensor_msgs/msg/Imu,sensor_msgs/msg/Imu,True,1,1,0,0,,
4,/go1/foot_contacts,std_msgs/msg/Int32MultiArray,std_msgs/msg/Int32MultiArray,True,1,1,0,0,,
4,/go1/sim_time,std_msgs/msg/Float64,std_msgs/msg/Float64,True,1,1,0,0,,
4,/go1/joint_torque_cmd,std_msgs/msg/Float64MultiArray,std_msgs/msg/Float64MultiArray,True,0,2,0,0,,
