check,value,expected,pass,detail
stage91_summary_exists,True,True,True,/home/zanshi/robot-mpc-wbc-locomotion/results/logs_sample/stage09_ros2_topic_schema_snapshot_summary.csv
stage91_pass,True,True,True,
stage91_schema_map_exists,True,True,True,/home/zanshi/robot-mpc-wbc-locomotion/results/logs_sample/stage09_ros2_topic_schema_snapshot_map.csv
stage8_adapter_exists,True,True,True,/home/zanshi/robot-mpc-wbc-locomotion/scripts/common/go1_runtime_interface.py
stage8_entrypoint_exists,True,True,True,/home/zanshi/robot-mpc-wbc-locomotion/scripts/stage08_adapter_backed_stage07_recommended_test.py
bridge_source_exists,True,True,True,/home/zanshi/robot-mpc-wbc-locomotion/ros2_ws/src/robot_mpc_wbc_bridge/robot_mpc_wbc_bridge/mujoco_bridge_node.py
type_match_publish_/go1/joint_states_name,sensor_msgs/msg/JointState,sensor_msgs/msg/JointState,True,
type_match_publish_/go1/joint_states_position,sensor_msgs/msg/JointState,sensor_msgs/msg/JointState,True,
type_match_publish_/go1/joint_states_velocity,sensor_msgs/msg/JointState,sensor_msgs/msg/JointState,True,
type_match_publish_/go1/joint_states_effort,sensor_msgs/msg/JointState,sensor_msgs/msg/JointState,True,
type_match_publish_/go1/base_state_data,std_msgs/msg/Float64MultiArray,std_msgs/msg/Float64MultiArray,True,
type_match_publish_/go1/imu_orientation,sensor_msgs/msg/Imu,sensor_msgs/msg/Imu,True,
type_match_publish_/go1/imu_angular_velocity,sensor_msgs/msg/Imu,sensor_msgs/msg/Imu,True,
type_match_publish_/go1/imu_linear_acceleration,sensor_msgs/msg/Imu,sensor_msgs/msg/Imu,True,
type_match_publish_/go1/foot_contacts_data,std_msgs/msg/Int32MultiArray,std_msgs/msg/Int32MultiArray,True,
type_match_publish_/go1/sim_time_data,std_msgs/msg/Float64,std_msgs/msg/Float64,True,
type_match_subscribe_/go1/joint_torque_cmd_data,std_msgs/msg/Float64MultiArray,std_msgs/msg/Float64MultiArray,True,
