metric,value
stage,Stage 9.0
test_name,ros2_cpp_interface_contract_inventory
ros2_ws_exists,True
ros2_src_exists,True
ros2_command_available,True
colcon_command_available,True
ros2_package_count,1
bridge_package_name,robot_mpc_wbc_bridge
bridge_package_found,True
stage8_freeze_pass,True
stage8_control_law_changed,False
publish_topic_expected_count,5
publish_topic_found_count,5
subscribe_topic_expected_count,1
subscribe_topic_found_count,1
all_expected_topics_found,True
control_law_changed,False
stage9_scope,interface_inventory_only
baseline_type,mixed_online_control_baseline
pure_wbc_locomotion_completed,False
ros2_cpp_realtime_controller_completed,False
ekf_completed,False
full_3d_centroidal_mpc_completed,False
num_checks,20
num_failed_checks,0
pass,True
log_csv,results/logs_sample/stage09_ros2_cpp_interface_contract_inventory_log.csv
topic_map_csv,results/logs_sample/stage09_ros2_cpp_interface_topic_contract_map.csv
summary_csv,results/logs_sample/stage09_ros2_cpp_interface_contract_inventory_summary.csv
