metric,value
stage,Stage 9.3
test_name,ros2_cpp_interface_mirror_skeleton_check
stage92_pass,True
package_dir,ros2_ws/src/robot_mpc_wbc_cpp_interface
cpp_source,ros2_ws/src/robot_mpc_wbc_cpp_interface/src/interface_mirror_node.cpp
launch_file,ros2_ws/src/robot_mpc_wbc_cpp_interface/launch/interface_mirror.launch.py
expected_subscription_count,6
subscription_found_count,6
torque_command_publisher_found,False
publish_call_found,False
colcon_build_returncode,0
control_law_changed,False
stage9_scope,cpp_interface_mirror_skeleton_only
baseline_type,mixed_online_control_baseline
pure_wbc_locomotion_completed,False
ros2_cpp_realtime_controller_completed,False
ekf_completed,False
full_3d_centroidal_mpc_completed,False
num_checks,16
num_failed_checks,0
pass,True
log_csv,results/logs_sample/stage09_ros2_cpp_interface_mirror_skeleton_check_log.csv
summary_csv,results/logs_sample/stage09_ros2_cpp_interface_mirror_skeleton_check_summary.csv
build_stdout,results/logs_sample/stage09_ros2_cpp_interface_mirror_skeleton_build_stdout.txt
build_stderr,results/logs_sample/stage09_ros2_cpp_interface_mirror_skeleton_build_stderr.txt
