check,value,expected,pass,detail
Stage 10.0_summary_exists,True,True,True,/home/zanshi/robot-mpc-wbc-locomotion/results/logs_sample/stage10_controller_implementation_plan_and_safety_gate_summary.csv
Stage 10.0_pass,True,True,True,
Stage 10.1_summary_exists,True,True,True,/home/zanshi/robot-mpc-wbc-locomotion/results/logs_sample/stage10_disabled_cpp_controller_skeleton_check_summary.csv
Stage 10.1_pass,True,True,True,
Stage 10.2_summary_exists,True,True,True,/home/zanshi/robot-mpc-wbc-locomotion/results/logs_sample/stage10_cpp_state_cache_runtime_validation_summary.csv
Stage 10.2_pass,True,True,True,
Stage 10.3_summary_exists,True,True,True,/home/zanshi/robot-mpc-wbc-locomotion/results/logs_sample/stage10_zero_torque_dry_run_internal_validation_summary.csv
Stage 10.3_pass,True,True,True,
Stage 10.4_summary_exists,True,True,True,/home/zanshi/robot-mpc-wbc-locomotion/results/logs_sample/stage10_python_frozen_baseline_ab_regression_summary.csv
Stage 10.4_pass,True,True,True,
Stage 10.5_summary_exists,True,True,True,/home/zanshi/robot-mpc-wbc-locomotion/results/logs_sample/stage10_torque_publisher_enable_gate_design_summary.csv
Stage 10.5_pass,True,True,True,
control_law_changed_any,False,False,True,
torque_publisher_enabled_any,False,False,True,
torque_command_published_any,False,False,True,
cpp_controller_source_exists,True,True,True,/home/zanshi/robot-mpc-wbc-locomotion/ros2_ws/src/robot_mpc_wbc_cpp_controller/src/disabled_controller_node.cpp
source_has_no_create_publisher,False,False,True,
source_has_no_publish_call,False,False,True,
source_does_not_reference_torque_topic,False,False,True,
zero_header_declares_12,True,True,True,
stage105_safety_gate_exists,True,True,True,/home/zanshi/robot-mpc-wbc-locomotion/results/logs_sample/stage10_torque_publisher_safety_gate_after_stage105.csv
G0_status_after_stage105,True,True,True,
G1_status_after_stage105,True,True,True,
G2_status_after_stage105,True,True,True,
G3_status_after_stage105,True,True,True,
G4_status_after_stage105,True,True,True,
G5_status_after_stage105,False,False,True,
G6_status_after_stage105,True,True,True,
G7_status_after_stage105,True,True,True,
torque_enable_ready_after_stage105,False,False,True,
missing_freeze_file_count,0,0,True,
