metric,value
stage,Stage 10.6
test_name,stage10_0_5_controller_planning_freeze_summary
stage100_pass,True
stage101_pass,True
stage102_pass,True
stage103_pass,True
stage104_pass,True
stage105_pass,True
freeze_file_count,18
missing_file_count,0
source_has_no_create_publisher,True
source_has_no_publish_call,True
source_does_not_reference_torque_topic,True
zero_header_declares_12,True
g0_stage8_baseline_valid,True
g1_stage9_interface_mirror_frozen,True
g2_no_torque_publisher,True
g3_no_publish_call,True
g4_manual_enable_design_exists,True
g5_clamp_watchdog_implemented,False
g6_zero_torque_regression_completed,True
g7_python_ab_regression_passes,True
torque_enable_ready,False
control_law_changed,False
torque_publisher_enabled,False
torque_command_published_by_stage106,False
stage10_scope,controller_planning_freeze_summary_only
baseline_type,mixed_online_control_baseline
controller_planning_frozen,True
ros2_cpp_realtime_controller_completed,False
pure_wbc_locomotion_completed,False
ekf_completed,False
full_3d_centroidal_mpc_completed,False
num_checks,31
num_failed_checks,0
pass,True
log_csv,results/logs_sample/stage10_0_5_controller_planning_freeze_log.csv
hash_csv,results/logs_sample/stage10_0_5_controller_planning_freeze_hashes.csv
summary_csv,results/logs_sample/stage10_0_5_controller_planning_freeze_summary.csv
doc,docs/STAGE10_0_5_CONTROLLER_PLANNING_FREEZE_SUMMARY.md
