check,value,expected,pass,detail
Stage 10.7_summary_exists,True,True,True,/home/zanshi/robot-mpc-wbc-locomotion/results/logs_sample/stage10_clamp_watchdog_utility_without_publisher_summary.csv
Stage 10.7_pass,True,True,True,
Stage 10.8_summary_exists,True,True,True,/home/zanshi/robot-mpc-wbc-locomotion/results/logs_sample/stage10_disabled_controller_uses_safety_utilities_summary.csv
Stage 10.8_pass,True,True,True,
control_law_changed_any,False,False,True,
torque_publisher_enabled_any,False,False,True,
torque_command_published_any,False,False,True,
cpp_controller_source_exists,True,True,True,/home/zanshi/robot-mpc-wbc-locomotion/ros2_ws/src/robot_mpc_wbc_cpp_controller/src/disabled_controller_node.cpp
safety_header_exists,True,True,True,/home/zanshi/robot-mpc-wbc-locomotion/ros2_ws/src/robot_mpc_wbc_cpp_controller/include/robot_mpc_wbc_cpp_controller/torque_safety.hpp
zero_header_exists,True,True,True,/home/zanshi/robot-mpc-wbc-locomotion/ros2_ws/src/robot_mpc_wbc_cpp_controller/include/robot_mpc_wbc_cpp_controller/zero_torque_dry_run.hpp
source_has_no_create_publisher,False,False,True,
source_has_no_publish_call,False,False,True,
source_does_not_reference_torque_topic,False,False,True,
source_includes_safety_header,True,True,True,
source_uses_clamp_torque_command,True,True,True,
source_uses_watchdog_fresh_check,True,True,True,
source_uses_watchdog_fallback_zero,True,True,True,
source_has_internal_safe_tau_buffer,True,True,True,
safety_header_has_clamp,True,True,True,
safety_header_has_watchdog,True,True,True,
zero_header_declares_12,True,True,True,
stage107_clamp_watchdog_utility_implemented,True,True,True,
stage107_torque_topic_publishers_zero,True,True,True,
stage108_controller_uses_safety_utilities,True,True,True,
stage108_torque_topic_publishers_zero,True,True,True,
stage108_manual_enable_active,False,False,True,
stage108_publisher_path_exists,False,False,True,
stage108_safety_gate_exists,True,True,True,/home/zanshi/robot-mpc-wbc-locomotion/results/logs_sample/stage10_torque_publisher_safety_gate_after_stage108.csv
G0_status_after_stage108,True,True,True,
G1_status_after_stage108,True,True,True,
G2_status_after_stage108,True,True,True,
G3_status_after_stage108,True,True,True,
G4_status_after_stage108,True,True,True,
G5_status_after_stage108,True,True,True,
G6_status_after_stage108,True,True,True,
G7_status_after_stage108,True,True,True,
G8_status_after_stage108,False,False,True,
G9_status_after_stage108,False,False,True,
G10_status_after_stage108,True,True,True,
torque_enable_ready_after_stage108,False,False,True,
missing_freeze_file_count,0,0,True,
