metric,value
stage,Stage 10.9
test_name,stage10_7_8_safety_utility_freeze_summary
stage107_pass,True
stage108_pass,True
freeze_file_count,12
missing_file_count,0
source_has_no_create_publisher,True
source_has_no_publish_call,True
source_does_not_reference_torque_topic,True
source_includes_safety_header,True
source_uses_clamp_torque_command,True
source_uses_watchdog_fresh_check,True
source_uses_watchdog_fallback_zero,True
stage107_clamp_watchdog_utility_implemented,True
stage108_controller_uses_safety_utilities,True
g8_manual_enable_active,False
g9_publisher_path_exists,False
g10_controller_uses_safety_utilities,True
torque_enable_ready,False
control_law_changed,False
torque_publisher_enabled,False
torque_command_published_by_stage109,False
stage10_scope,safety_utility_freeze_summary_only
baseline_type,mixed_online_control_baseline
safety_utility_frozen,True
ros2_cpp_realtime_controller_completed,False
pure_wbc_locomotion_completed,False
ekf_completed,False
full_3d_centroidal_mpc_completed,False
num_checks,41
num_failed_checks,0
pass,True
log_csv,results/logs_sample/stage10_7_8_safety_utility_freeze_log.csv
hash_csv,results/logs_sample/stage10_7_8_safety_utility_freeze_hashes.csv
summary_csv,results/logs_sample/stage10_7_8_safety_utility_freeze_summary.csv
doc,docs/STAGE10_7_8_SAFETY_UTILITY_FREEZE_SUMMARY.md
