check,value,expected,pass,detail
stage106_summary_exists,True,True,True,/home/zanshi/robot-mpc-wbc-locomotion/results/logs_sample/stage10_0_5_controller_planning_freeze_summary.csv
stage106_pass,True,True,True,
stage106_controller_planning_frozen,True,True,True,
stage106_torque_publisher_enabled,False,False,True,
stage106_control_law_changed,False,False,True,
exists_ros2_ws/src/robot_mpc_wbc_cpp_controller/src/disabled_controller_node.cpp,True,True,True,/home/zanshi/robot-mpc-wbc-locomotion/ros2_ws/src/robot_mpc_wbc_cpp_controller/src/disabled_controller_node.cpp
exists_ros2_ws/src/robot_mpc_wbc_cpp_controller/include/robot_mpc_wbc_cpp_controller/zero_torque_dry_run.hpp,True,True,True,/home/zanshi/robot-mpc-wbc-locomotion/ros2_ws/src/robot_mpc_wbc_cpp_controller/include/robot_mpc_wbc_cpp_controller/zero_torque_dry_run.hpp
exists_ros2_ws/src/robot_mpc_wbc_cpp_controller/include/robot_mpc_wbc_cpp_controller/torque_safety.hpp,True,True,True,/home/zanshi/robot-mpc-wbc-locomotion/ros2_ws/src/robot_mpc_wbc_cpp_controller/include/robot_mpc_wbc_cpp_controller/torque_safety.hpp
exists_ros2_ws/src/robot_mpc_wbc_cpp_controller/src/torque_safety_contract_check.cpp,True,True,True,/home/zanshi/robot-mpc-wbc-locomotion/ros2_ws/src/robot_mpc_wbc_cpp_controller/src/torque_safety_contract_check.cpp
exists_ros2_ws/src/robot_mpc_wbc_cpp_controller/CMakeLists.txt,True,True,True,/home/zanshi/robot-mpc-wbc-locomotion/ros2_ws/src/robot_mpc_wbc_cpp_controller/CMakeLists.txt
controller_source_has_no_create_publisher,False,False,True,
controller_source_has_no_publish_call,False,False,True,
controller_source_does_not_reference_torque_topic,False,False,True,
safety_header_has_clamp_utility,True,True,True,
safety_header_has_watchdog_utility,True,True,True,
safety_header_uses_zero_header,True,True,True,
safety_contract_check_registered,True,True,True,
safety_contract_check_uses_header,True,True,True,
colcon_build_returncode,0,0,True,
torque_safety_contract_returncode,0,0,True,
clamp_output_size_ok,True,True,True,
clamp_output_all_finite,True,True,True,
clamp_detected_nonfinite,True,True,True,
clamp_applied,True,True,True,
clamp_max_abs_ok,True,True,True,
clamp_expected_values_ok,True,True,True,
zero_clamp_all_zero,True,True,True,
watchdog_fresh_ok,True,True,True,
watchdog_stale_blocks,True,True,True,
watchdog_nan_blocks,True,True,True,
watchdog_zero_all_zero,True,True,True,
bridge_alive_after_startup,True,True,True,
disabled_controller_alive_after_startup,True,True,True,
torque_topic_info_returncode,0,0,True,
torque_topic_publishers_zero,0,0,True,
torque_topic_subscribers_positive,1,>=1,True,
clamp_watchdog_utility_implemented,True,True,True,
manual_enable_active,False,False,True,
publisher_path_exists,False,False,True,
torque_enable_ready,False,False,True,
