metric,value
stage,Stage 10.0
test_name,controller_implementation_plan_and_safety_gate
stage8_freeze_pass,True
stage9_freeze_pass,True
ros2_cpp_interface_mirror_frozen,True
cpp_mirror_source_has_no_create_publisher,True
cpp_mirror_source_has_no_publish_call,True
cpp_mirror_observes_torque_topic_only,True
torque_enable_ready,False
control_law_changed,False
torque_publisher_enabled,False
torque_command_published_by_stage100,False
stage10_scope,controller_planning_and_safety_gate_only
baseline_type,mixed_online_control_baseline
ros2_cpp_realtime_controller_completed,False
pure_wbc_locomotion_completed,False
ekf_completed,False
full_3d_centroidal_mpc_completed,False
num_checks,15
num_failed_checks,0
pass,True
log_csv,results/logs_sample/stage10_controller_implementation_plan_and_safety_gate_log.csv
plan_csv,results/logs_sample/stage10_controller_implementation_plan.csv
safety_gate_csv,results/logs_sample/stage10_torque_publisher_safety_gate.csv
summary_csv,results/logs_sample/stage10_controller_implementation_plan_and_safety_gate_summary.csv
doc,docs/STAGE10_CONTROLLER_IMPLEMENTATION_PLAN_AND_SAFETY_GATE.md
