check,value,expected,pass,detail
stage107_summary_exists,True,True,True,/home/zanshi/robot-mpc-wbc-locomotion/results/logs_sample/stage10_clamp_watchdog_utility_without_publisher_summary.csv
stage107_pass,True,True,True,
stage107_torque_publisher_enabled,False,False,True,
stage107_control_law_changed,False,False,True,
cpp_source_exists,True,True,True,/home/zanshi/robot-mpc-wbc-locomotion/ros2_ws/src/robot_mpc_wbc_cpp_controller/src/disabled_controller_node.cpp
safety_header_exists,True,True,True,/home/zanshi/robot-mpc-wbc-locomotion/ros2_ws/src/robot_mpc_wbc_cpp_controller/include/robot_mpc_wbc_cpp_controller/torque_safety.hpp
source_has_no_create_publisher,False,False,True,
source_has_no_publish_call,False,False,True,
source_does_not_reference_torque_topic,False,False,True,
source_includes_safety_header,True,True,True,
source_uses_clamp_torque_command,True,True,True,
source_uses_watchdog_fresh_check,True,True,True,
source_uses_watchdog_fallback_zero,True,True,True,
source_has_internal_safe_tau_buffer,True,True,True,
source_has_input_freshness_timeout,True,True,True,
source_has_runtime_log_marker,True,True,True,
safety_header_has_clamp,True,True,True,
safety_header_has_watchdog,True,True,True,
colcon_build_returncode,0,0,True,
torque_safety_contract_returncode,0,0,True,
clamp_output_all_finite,True,True,True,
clamp_expected_values_ok,True,True,True,
watchdog_stale_blocks,True,True,True,
watchdog_nan_blocks,True,True,True,
watchdog_zero_all_zero,True,True,True,
bridge_alive_after_startup,True,True,True,
disabled_controller_alive_after_startup,True,True,True,
torque_topic_info_returncode,0,0,True,
torque_topic_publishers_zero,0,0,True,
torque_topic_subscribers_positive,1,>=1,True,
controller_uses_safety_utilities,True,True,True,
manual_enable_active,False,False,True,
publisher_path_exists,False,False,True,
torque_enable_ready,False,False,True,
