check,value,expected,pass,detail
stage100_summary_exists,True,True,True,/home/zanshi/robot-mpc-wbc-locomotion/results/logs_sample/stage10_controller_implementation_plan_and_safety_gate_summary.csv
stage100_pass,True,True,True,
stage100_torque_enable_ready,False,False,True,
stage100_torque_publisher_enabled,False,False,True,
exists_ros2_ws/src/robot_mpc_wbc_cpp_controller,True,True,True,/home/zanshi/robot-mpc-wbc-locomotion/ros2_ws/src/robot_mpc_wbc_cpp_controller
exists_ros2_ws/src/robot_mpc_wbc_cpp_controller/package.xml,True,True,True,/home/zanshi/robot-mpc-wbc-locomotion/ros2_ws/src/robot_mpc_wbc_cpp_controller/package.xml
exists_ros2_ws/src/robot_mpc_wbc_cpp_controller/CMakeLists.txt,True,True,True,/home/zanshi/robot-mpc-wbc-locomotion/ros2_ws/src/robot_mpc_wbc_cpp_controller/CMakeLists.txt
exists_ros2_ws/src/robot_mpc_wbc_cpp_controller/src/disabled_controller_node.cpp,True,True,True,/home/zanshi/robot-mpc-wbc-locomotion/ros2_ws/src/robot_mpc_wbc_cpp_controller/src/disabled_controller_node.cpp
exists_ros2_ws/src/robot_mpc_wbc_cpp_controller/launch/disabled_controller.launch.py,True,True,True,/home/zanshi/robot-mpc-wbc-locomotion/ros2_ws/src/robot_mpc_wbc_cpp_controller/launch/disabled_controller.launch.py
subscription_found_/go1/joint_states,True,True,True,
subscription_found_/go1/base_state,True,True,True,
subscription_found_/go1/imu,True,True,True,
subscription_found_/go1/foot_contacts,True,True,True,
subscription_found_/go1/sim_time,True,True,True,
source_does_not_reference_torque_cmd_topic,False,False,True,
source_has_no_create_publisher,False,False,True,
source_has_no_publish_call,False,False,True,
zero_torque_dry_run_vector_declared,True,True,True,
disabled_status_literal_present,True,True,True,
colcon_build_returncode,0,0,True,
