metric,value
stage,Stage 10.1
test_name,disabled_cpp_controller_skeleton_check
stage100_pass,True
stage100_torque_enable_ready,False
stage100_torque_publisher_enabled,False
package_dir,ros2_ws/src/robot_mpc_wbc_cpp_controller
cpp_source,ros2_ws/src/robot_mpc_wbc_cpp_controller/src/disabled_controller_node.cpp
launch_file,ros2_ws/src/robot_mpc_wbc_cpp_controller/launch/disabled_controller.launch.py
expected_subscription_count,5
subscription_found_count,5
source_references_torque_cmd_topic,False
source_has_create_publisher,False
source_has_publish_call,False
zero_torque_dry_run_vector_declared,True
colcon_build_returncode,0
control_law_changed,False
torque_publisher_enabled,False
torque_command_published_by_stage101,False
stage10_scope,disabled_cpp_controller_skeleton_only
baseline_type,mixed_online_control_baseline
ros2_cpp_realtime_controller_completed,False
pure_wbc_locomotion_completed,False
ekf_completed,False
full_3d_centroidal_mpc_completed,False
num_checks,20
num_failed_checks,0
pass,True
log_csv,results/logs_sample/stage10_disabled_cpp_controller_skeleton_check_log.csv
summary_csv,results/logs_sample/stage10_disabled_cpp_controller_skeleton_check_summary.csv
build_stdout,results/logs_sample/stage10_disabled_cpp_controller_skeleton_build_stdout.txt
build_stderr,results/logs_sample/stage10_disabled_cpp_controller_skeleton_build_stderr.txt
