check,value,expected,pass,detail
stage109_summary_exists,True,True,True,/home/zanshi/robot-mpc-wbc-locomotion/results/logs_sample/stage10_7_8_safety_utility_freeze_summary.csv
stage109_pass,True,True,True,
stage1010_summary_exists,True,True,True,/home/zanshi/robot-mpc-wbc-locomotion/results/logs_sample/stage10_manual_enable_params_disabled_without_publisher_summary.csv
stage1010_pass,True,True,True,
stage1010_manual_enable_params_declared,True,True,True,
stage1010_manual_enable_params_default_false,True,True,True,
stage1010_manual_enable_active,False,False,True,
stage1010_publisher_path_exists,False,False,True,
stage1010_torque_topic_publishers_zero,True,True,True,
cpp_source_exists,True,True,True,/home/zanshi/robot-mpc-wbc-locomotion/ros2_ws/src/robot_mpc_wbc_cpp_controller/src/disabled_controller_node.cpp
safety_header_exists,True,True,True,/home/zanshi/robot-mpc-wbc-locomotion/ros2_ws/src/robot_mpc_wbc_cpp_controller/include/robot_mpc_wbc_cpp_controller/torque_safety.hpp
zero_header_exists,True,True,True,/home/zanshi/robot-mpc-wbc-locomotion/ros2_ws/src/robot_mpc_wbc_cpp_controller/include/robot_mpc_wbc_cpp_controller/zero_torque_dry_run.hpp
source_has_no_create_publisher,False,False,True,
source_has_no_publish_call,False,False,True,
source_does_not_reference_torque_topic,False,False,True,
source_declares_enable_param_default_false,True,True,True,
source_declares_confirm_param_default_false,True,True,True,
source_reads_enable_param,True,True,True,
source_reads_confirm_param,True,True,True,
source_has_manual_enable_active_state,True,True,True,
source_uses_safety_utilities,True,True,True,
safety_header_has_clamp_watchdog,True,True,True,
zero_header_declares_12,True,True,True,
stage1010_safety_gate_exists,True,True,True,/home/zanshi/robot-mpc-wbc-locomotion/results/logs_sample/stage10_torque_publisher_safety_gate_after_stage1010.csv
G0_status_after_stage1010,True,True,True,
G1_status_after_stage1010,True,True,True,
G2_status_after_stage1010,True,True,True,
G3_status_after_stage1010,True,True,True,
G4_status_after_stage1010,True,True,True,
G5_status_after_stage1010,True,True,True,
G6_status_after_stage1010,True,True,True,
G7_status_after_stage1010,True,True,True,
G8_status_after_stage1010,False,False,True,
G9_status_after_stage1010,False,False,True,
G10_status_after_stage1010,True,True,True,
G11_status_after_stage1010,True,True,True,
torque_enable_ready_after_stage1010,False,False,True,
control_law_changed_any,False,False,True,
torque_publisher_enabled_any,False,False,True,
torque_command_published_any,False,False,True,
missing_freeze_file_count,0,0,True,
