check,value,expected,pass,detail
stage109_summary_exists,True,True,True,/home/zanshi/robot-mpc-wbc-locomotion/results/logs_sample/stage10_7_8_safety_utility_freeze_summary.csv
stage109_pass,True,True,True,
stage109_safety_utility_frozen,True,True,True,
stage109_torque_publisher_enabled,False,False,True,
stage109_control_law_changed,False,False,True,
cpp_source_exists,True,True,True,/home/zanshi/robot-mpc-wbc-locomotion/ros2_ws/src/robot_mpc_wbc_cpp_controller/src/disabled_controller_node.cpp
safety_header_exists,True,True,True,/home/zanshi/robot-mpc-wbc-locomotion/ros2_ws/src/robot_mpc_wbc_cpp_controller/include/robot_mpc_wbc_cpp_controller/torque_safety.hpp
source_has_no_create_publisher,False,False,True,
source_has_no_publish_call,False,False,True,
source_does_not_reference_torque_topic,False,False,True,
source_declares_enable_param_default_false,True,True,True,
source_declares_confirm_param_default_false,True,True,True,
source_reads_enable_param,True,True,True,
source_reads_confirm_param,True,True,True,
source_has_manual_enable_active_state,True,True,True,
source_uses_safety_utilities,True,True,True,
safety_header_has_clamp_watchdog,True,True,True,
colcon_build_returncode,0,0,True,
bridge_alive_after_startup,True,True,True,
disabled_controller_alive_after_startup,True,True,True,
param_list_returncode,0,0,True,
enable_param_listed,True,True,True,
confirm_param_listed,True,True,True,
enable_param_get_returncode,0,0,True,
confirm_param_get_returncode,0,0,True,
enable_param_default_false,True,True,True,"Boolean value is: False
"
confirm_param_default_false,True,True,True,"Boolean value is: False
"
torque_topic_info_returncode,0,0,True,
torque_topic_publishers_zero,0,0,True,
torque_topic_subscribers_positive,1,>=1,True,
manual_enable_params_declared,True,True,True,
manual_enable_params_default_false,True,True,True,
manual_enable_active,False,False,True,
publisher_path_exists,False,False,True,
torque_enable_ready,False,False,True,
