check,value,expected,pass,detail
stage103_summary_exists,True,True,True,/home/zanshi/robot-mpc-wbc-locomotion/results/logs_sample/stage10_zero_torque_dry_run_internal_validation_summary.csv
stage103_pass,True,True,True,
stage103_torque_publisher_enabled,False,False,True,
stage103_control_law_changed,False,False,True,
cpp_controller_source_exists,True,True,True,/home/zanshi/robot-mpc-wbc-locomotion/ros2_ws/src/robot_mpc_wbc_cpp_controller/src/disabled_controller_node.cpp
cpp_source_has_no_create_publisher,False,False,True,
cpp_source_has_no_publish_call,False,False,True,
cpp_source_does_not_reference_torque_topic,False,False,True,
zero_torque_header_exists,True,True,True,/home/zanshi/robot-mpc-wbc-locomotion/ros2_ws/src/robot_mpc_wbc_cpp_controller/include/robot_mpc_wbc_cpp_controller/zero_torque_dry_run.hpp
zero_torque_header_declares_12,True,True,True,
stage8_freeze_rerun_returncode,0,0,True,/home/zanshi/robot-mpc-wbc-locomotion/scripts/stage08_freeze_integrity_check.py
stage8_freeze_summary_exists_after_rerun,True,True,True,/home/zanshi/robot-mpc-wbc-locomotion/results/logs_sample/stage08_freeze_integrity_check_summary.csv
stage8_freeze_pass_after_rerun,True,True,True,
stage8_freeze_control_law_changed_after_rerun,False,False,True,
stage8_freeze_baseline_type,mixed_online_control_baseline,mixed_online_control_baseline,True,
stage83_ab_rerun_returncode,0,0,True,/home/zanshi/robot-mpc-wbc-locomotion/scripts/stage08_adapter_backed_stage07_baseline_ab_test.py
stage83_ab_summary_exists_after_rerun,True,True,True,/home/zanshi/robot-mpc-wbc-locomotion/results/logs_sample/stage08_adapter_backed_stage07_baseline_ab_test_summary.csv
stage83_ab_pass_after_rerun,True,True,True,
stage83_original_pass_after_rerun,True,True,True,
stage83_adapter_pass_after_rerun,True,True,True,
stage83_original_pass_margin_after_rerun,True,True,True,
stage83_adapter_pass_margin_after_rerun,True,True,True,
stage83_original_qp_fail_steps,0,0,True,
stage83_adapter_qp_fail_steps,0,0,True,
stage83_original_saturation_steps,0,0,True,
stage83_adapter_saturation_steps,0,0,True,
torque_enable_ready_after_stage104,False,False,True,
