metric,value
stage,Stage 10.4
test_name,python_frozen_baseline_ab_regression
stage103_pass,True
stage8_freeze_rerun_returncode,0
stage8_freeze_pass_after_rerun,True
stage8_freeze_control_law_changed_after_rerun,False
stage83_ab_rerun_returncode,0
stage83_ab_pass_after_rerun,True
stage83_original_pass_after_rerun,True
stage83_adapter_pass_after_rerun,True
stage83_original_pass_margin_after_rerun,True
stage83_adapter_pass_margin_after_rerun,True
stage83_original_qp_fail_steps,0
stage83_adapter_qp_fail_steps,0
stage83_original_saturation_steps,0
stage83_adapter_saturation_steps,0
cpp_source_has_no_create_publisher,True
cpp_source_has_no_publish_call,True
cpp_source_does_not_reference_torque_topic,True
zero_torque_header_declares_12,True
torque_enable_ready,False
control_law_changed,False
torque_publisher_enabled,False
torque_command_published_by_stage104,False
stage10_scope,python_frozen_baseline_ab_regression_only
baseline_type,mixed_online_control_baseline
ros2_cpp_realtime_controller_completed,False
pure_wbc_locomotion_completed,False
ekf_completed,False
full_3d_centroidal_mpc_completed,False
num_checks,27
num_failed_checks,0
pass,True
log_csv,results/logs_sample/stage10_python_frozen_baseline_ab_regression_log.csv
safety_gate_csv,results/logs_sample/stage10_torque_publisher_safety_gate_after_stage104.csv
summary_csv,results/logs_sample/stage10_python_frozen_baseline_ab_regression_summary.csv
stage8_freeze_stdout,results/logs_sample/stage10_stage08_freeze_integrity_rerun_stdout.txt
stage8_freeze_stderr,results/logs_sample/stage10_stage08_freeze_integrity_rerun_stderr.txt
stage83_ab_stdout,results/logs_sample/stage10_stage08_adapter_backed_ab_rerun_stdout.txt
stage83_ab_stderr,results/logs_sample/stage10_stage08_adapter_backed_ab_rerun_stderr.txt
doc,docs/STAGE10_PYTHON_FROZEN_BASELINE_AB_REGRESSION.md
