metric,value
stage,Stage 10.5
test_name,torque_publisher_enable_gate_design
stage104_pass,True
stage104_torque_enable_ready,False
manual_enable_flag_design_exists,True
manual_enable_flag_name,enable_torque_publisher
second_confirm_flag_name,confirm_torque_publisher_enable
manual_enable_default,False
clamp_watchdog_design_exists,True
clamp_watchdog_implemented,False
source_has_no_create_publisher,True
source_has_no_publish_call,True
source_does_not_reference_torque_topic,True
zero_header_declares_12,True
torque_enable_ready,False
control_law_changed,False
torque_publisher_enabled,False
torque_command_published_by_stage105,False
stage10_scope,torque_publisher_enable_gate_design_only
baseline_type,mixed_online_control_baseline
ros2_cpp_realtime_controller_completed,False
pure_wbc_locomotion_completed,False
ekf_completed,False
full_3d_centroidal_mpc_completed,False
num_checks,15
num_failed_checks,0
pass,True
log_csv,results/logs_sample/stage10_torque_publisher_enable_gate_design_log.csv
design_csv,results/logs_sample/stage10_torque_publisher_enable_gate_design.csv
safety_gate_csv,results/logs_sample/stage10_torque_publisher_safety_gate_after_stage105.csv
summary_csv,results/logs_sample/stage10_torque_publisher_enable_gate_design_summary.csv
doc,docs/STAGE10_TORQUE_PUBLISHER_ENABLE_GATE_DESIGN.md
