check,value,expected,pass,detail
Stage 11.0_summary_exists,True,True,True,/home/zanshi/robot-mpc-wbc-locomotion/results/logs_sample/stage11_publisher_path_skeleton_planning_summary.csv
Stage 11.0_pass,True,True,True,
Stage 11.1_summary_exists,True,True,True,/home/zanshi/robot-mpc-wbc-locomotion/results/logs_sample/stage11_publisher_path_source_guard_summary.csv
Stage 11.1_pass,True,True,True,
Stage 11.2_summary_exists,True,True,True,/home/zanshi/robot-mpc-wbc-locomotion/results/logs_sample/stage11_disabled_publisher_path_skeleton_design_summary.csv
Stage 11.2_pass,True,True,True,
stage110_publisher_path_plan_exists,True,True,True,
stage110_publisher_path_implemented,False,False,True,
stage111_publisher_path_source_guard_passed,True,True,True,
stage111_publisher_path_implemented,False,False,True,
stage112_disabled_publisher_path_design_exists,True,True,True,
stage112_design_all_items_not_implemented,True,True,True,
stage112_publisher_path_implemented,False,False,True,
control_law_changed_any,False,False,True,
torque_publisher_enabled_any,False,False,True,
torque_command_published_any,False,False,True,
cpp_source_exists,True,True,True,/home/zanshi/robot-mpc-wbc-locomotion/ros2_ws/src/robot_mpc_wbc_cpp_controller/src/disabled_controller_node.cpp
safety_header_exists,True,True,True,/home/zanshi/robot-mpc-wbc-locomotion/ros2_ws/src/robot_mpc_wbc_cpp_controller/include/robot_mpc_wbc_cpp_controller/torque_safety.hpp
zero_header_exists,True,True,True,/home/zanshi/robot-mpc-wbc-locomotion/ros2_ws/src/robot_mpc_wbc_cpp_controller/include/robot_mpc_wbc_cpp_controller/zero_torque_dry_run.hpp
source_has_no_create_publisher,False,False,True,
source_has_no_publish_call,False,False,True,
source_does_not_reference_torque_topic,False,False,True,
source_declares_enable_param_default_false,True,True,True,
source_declares_confirm_param_default_false,True,True,True,
source_uses_safety_utilities,True,True,True,
safety_header_has_clamp_watchdog,True,True,True,
zero_header_declares_12,True,True,True,
stage112_safety_gate_exists,True,True,True,/home/zanshi/robot-mpc-wbc-locomotion/results/logs_sample/stage11_torque_publisher_safety_gate_after_stage112.csv
G0_status_after_stage112,True,True,True,
G1_status_after_stage112,True,True,True,
G2_status_after_stage112,True,True,True,
G3_status_after_stage112,True,True,True,
G4_status_after_stage112,True,True,True,
G5_status_after_stage112,True,True,True,
G6_status_after_stage112,True,True,True,
G7_status_after_stage112,True,True,True,
G8_status_after_stage112,False,False,True,
G9_status_after_stage112,False,False,True,
G10_status_after_stage112,True,True,True,
G11_status_after_stage112,True,True,True,
G12_status_after_stage112,True,True,True,
G13_status_after_stage112,True,True,True,
G14_status_after_stage112,True,True,True,
torque_enable_ready_after_stage112,False,False,True,
missing_freeze_file_count,0,0,True,
