check,value,expected,pass,detail
Stage 11.0_summary_exists,True,True,True,/home/zanshi/robot-mpc-wbc-locomotion/results/logs_sample/stage11_publisher_path_skeleton_planning_summary.csv
Stage 11.0_pass,True,True,True,
Stage 11.1_summary_exists,True,True,True,/home/zanshi/robot-mpc-wbc-locomotion/results/logs_sample/stage11_publisher_path_source_guard_summary.csv
Stage 11.1_pass,True,True,True,
Stage 11.2_summary_exists,True,True,True,/home/zanshi/robot-mpc-wbc-locomotion/results/logs_sample/stage11_disabled_publisher_path_skeleton_design_summary.csv
Stage 11.2_pass,True,True,True,
Stage 11.3_summary_exists,True,True,True,/home/zanshi/robot-mpc-wbc-locomotion/results/logs_sample/stage11_0_2_publisher_path_planning_freeze_summary.csv
Stage 11.3_pass,True,True,True,
Stage 11.4_summary_exists,True,True,True,/home/zanshi/robot-mpc-wbc-locomotion/results/logs_sample/stage11_disabled_publisher_path_skeleton_preflight_summary.csv
Stage 11.4_pass,True,True,True,
Stage 11.5_summary_exists,True,True,True,/home/zanshi/robot-mpc-wbc-locomotion/results/logs_sample/stage11_dormant_publisher_path_source_skeleton_summary.csv
Stage 11.5_pass,True,True,True,
Stage 11.6_summary_exists,True,True,True,/home/zanshi/robot-mpc-wbc-locomotion/results/logs_sample/stage11_dormant_publisher_path_source_skeleton_freeze_summary.csv
Stage 11.6_pass,True,True,True,
Stage 11.7_summary_exists,True,True,True,/home/zanshi/robot-mpc-wbc-locomotion/results/logs_sample/stage11_runtime_guard_hardening_for_dormant_publisher_skeleton_summary.csv
Stage 11.7_pass,True,True,True,
Stage 11.8_summary_exists,True,True,True,/home/zanshi/robot-mpc-wbc-locomotion/results/logs_sample/stage11_5_7_dormant_publisher_runtime_freeze_summary.csv
Stage 11.8_pass,True,True,True,
stage110_publisher_path_plan_exists,True,True,True,
stage111_source_guard_passed,True,True,True,
stage112_disabled_design_exists,True,True,True,
stage113_planning_frozen,True,True,True,
stage114_preflight_passed,True,True,True,
stage115_dormant_skeleton_exists,True,True,True,
stage116_dormant_skeleton_frozen,True,True,True,
stage117_runtime_guard_hardened,True,True,True,
stage118_runtime_frozen,True,True,True,
control_law_changed_any,False,False,True,
torque_publisher_enabled_any,False,False,True,
torque_command_published_any,False,False,True,
publisher_path_implemented_any,False,False,True,
manual_enable_active_any,False,False,True,
cpp_source_exists,True,True,True,/home/zanshi/robot-mpc-wbc-locomotion/ros2_ws/src/robot_mpc_wbc_cpp_controller/src/disabled_controller_node.cpp
safety_header_exists,True,True,True,/home/zanshi/robot-mpc-wbc-locomotion/ros2_ws/src/robot_mpc_wbc_cpp_controller/include/robot_mpc_wbc_cpp_controller/torque_safety.hpp
zero_header_exists,True,True,True,/home/zanshi/robot-mpc-wbc-locomotion/ros2_ws/src/robot_mpc_wbc_cpp_controller/include/robot_mpc_wbc_cpp_controller/zero_torque_dry_run.hpp
source_has_no_create_publisher,False,False,True,
source_has_no_publish_call,False,False,True,
source_does_not_reference_torque_topic,False,False,True,
source_declares_enable_param_default_false,True,True,True,
source_declares_confirm_param_default_false,True,True,True,
source_uses_safety_utilities,True,True,True,
safety_header_has_clamp_watchdog,True,True,True,
zero_header_declares_12,True,True,True,
source_has_dormant_skeleton_marker,True,True,True,
source_has_construct_forbidden_marker,True,True,True,
source_has_publish_forbidden_marker,True,True,True,
source_has_payload_length_12,True,True,True,
source_has_dormant_payload_helper,True,True,True,
dormant_publisher_path_source_skeleton_exists,True,True,True,
runtime_observation_row_count,6,6,True,
runtime_observation_publishers_zero_all_rows,True,True,True,
runtime_observation_subscribers_positive_all_rows,True,True,True,
final_safety_gate_exists,True,True,True,/home/zanshi/robot-mpc-wbc-locomotion/results/logs_sample/stage11_torque_publisher_safety_gate_after_stage117.csv
G0_status_final,True,True,True,
G1_status_final,True,True,True,
G2_status_final,True,True,True,
G3_status_final,True,True,True,
G4_status_final,True,True,True,
G5_status_final,True,True,True,
G6_status_final,True,True,True,
G7_status_final,True,True,True,
G8_status_final,False,False,True,
G9_status_final,False,False,True,
G10_status_final,True,True,True,
G11_status_final,True,True,True,
G12_status_final,True,True,True,
G13_status_final,True,True,True,
G14_status_final,True,True,True,
G15_status_final,True,True,True,
G16_status_final,True,True,True,
G17_status_final,True,True,True,
torque_enable_ready_final,False,False,True,
missing_freeze_file_count,0,0,True,
