metric,value
stage,Stage 11.2
test_name,disabled_publisher_path_skeleton_design_only
stage111_pass,True
stage111_publisher_path_source_guard_passed,True
source_has_no_create_publisher,True
source_has_no_publish_call,True
source_does_not_reference_torque_topic,True
source_declares_enable_param_default_false,True
source_declares_confirm_param_default_false,True
source_uses_safety_utilities,True
disabled_publisher_path_design_exists,True
design_all_items_not_implemented,True
design_has_future_publisher_handle,True
design_has_publish_allowed_gate,True
design_has_runtime_guard,True
publisher_path_implemented,False
manual_enable_active,False
g8_manual_enable_active,False
g9_publisher_path_exists,False
g14_disabled_publisher_path_skeleton_design_exists,True
torque_enable_ready,False
control_law_changed,False
torque_publisher_enabled,False
torque_command_published_by_stage112,False
stage11_scope,disabled_publisher_path_skeleton_design_only
baseline_type,mixed_online_control_baseline
ros2_cpp_realtime_controller_completed,False
pure_wbc_locomotion_completed,False
ekf_completed,False
full_3d_centroidal_mpc_completed,False
num_checks,31
num_failed_checks,0
pass,True
log_csv,results/logs_sample/stage11_disabled_publisher_path_skeleton_design_log.csv
design_csv,results/logs_sample/stage11_disabled_publisher_path_skeleton_design.csv
safety_gate_csv,results/logs_sample/stage11_torque_publisher_safety_gate_after_stage112.csv
summary_csv,results/logs_sample/stage11_disabled_publisher_path_skeleton_design_summary.csv
doc,docs/STAGE11_DISABLED_PUBLISHER_PATH_SKELETON_DESIGN_ONLY.md
