metric,value
stage,Stage 11.4
test_name,disabled_publisher_path_skeleton_preflight
stage113_pass,True
publisher_path_planning_frozen,True
source_has_no_create_publisher,True
source_has_no_publish_call,True
source_does_not_reference_torque_topic,True
source_unchanged_by_stage114,True
stage112_design_csv_exists,True
stage112_design_all_items_not_implemented,True
preflight_csv_exists,True
preflight_forbids_create_publisher,True
preflight_forbids_publish_call,True
preflight_forbids_topic_string_in_controller_source,True
disabled_publisher_path_skeleton_preflight_passed,True
publisher_path_implemented,False
manual_enable_active,False
g8_manual_enable_active,False
g9_publisher_path_exists,False
g15_disabled_publisher_path_skeleton_preflight_passed,True
torque_enable_ready,False
control_law_changed,False
torque_publisher_enabled,False
torque_command_published_by_stage114,False
stage11_scope,disabled_publisher_path_skeleton_preflight_only
baseline_type,mixed_online_control_baseline
ros2_cpp_realtime_controller_completed,False
pure_wbc_locomotion_completed,False
ekf_completed,False
full_3d_centroidal_mpc_completed,False
num_checks,34
num_failed_checks,0
pass,True
log_csv,results/logs_sample/stage11_disabled_publisher_path_skeleton_preflight_log.csv
preflight_csv,results/logs_sample/stage11_disabled_publisher_path_skeleton_preflight.csv
safety_gate_csv,results/logs_sample/stage11_torque_publisher_safety_gate_after_stage114.csv
summary_csv,results/logs_sample/stage11_disabled_publisher_path_skeleton_preflight_summary.csv
doc,docs/STAGE11_DISABLED_PUBLISHER_PATH_SKELETON_PREFLIGHT.md
