check,value,expected,pass,detail
stage114_summary_exists,True,True,True,/home/zanshi/robot-mpc-wbc-locomotion/results/logs_sample/stage11_disabled_publisher_path_skeleton_preflight_summary.csv
stage114_pass,True,True,True,
stage114_preflight_passed,True,True,True,
stage114_publisher_path_implemented,False,False,True,
stage114_manual_enable_active,False,False,True,
stage114_torque_enable_ready,False,False,True,
cpp_source_exists,True,True,True,/home/zanshi/robot-mpc-wbc-locomotion/ros2_ws/src/robot_mpc_wbc_cpp_controller/src/disabled_controller_node.cpp
safety_header_exists,True,True,True,/home/zanshi/robot-mpc-wbc-locomotion/ros2_ws/src/robot_mpc_wbc_cpp_controller/include/robot_mpc_wbc_cpp_controller/torque_safety.hpp
zero_header_exists,True,True,True,/home/zanshi/robot-mpc-wbc-locomotion/ros2_ws/src/robot_mpc_wbc_cpp_controller/include/robot_mpc_wbc_cpp_controller/zero_torque_dry_run.hpp
source_has_no_create_publisher,False,False,True,
source_has_no_publish_call,False,False,True,
source_does_not_reference_torque_topic,False,False,True,
source_declares_enable_param_default_false,True,True,True,
source_declares_confirm_param_default_false,True,True,True,
source_uses_safety_utilities,True,True,True,
safety_header_has_clamp_watchdog,True,True,True,
zero_header_declares_12,True,True,True,
source_has_dormant_skeleton_marker,True,True,True,
source_has_construct_forbidden_marker,True,True,True,
source_has_publish_forbidden_marker,True,True,True,
source_has_payload_length_12,True,True,True,
source_has_dormant_payload_helper,True,True,True,
dormant_publisher_path_source_skeleton_exists,True,True,True,
stage114_gate_exists,True,True,True,/home/zanshi/robot-mpc-wbc-locomotion/results/logs_sample/stage11_torque_publisher_safety_gate_after_stage114.csv
stage114_g8_manual_enable_active_false,False,False,True,
stage114_g9_publisher_path_exists_false,False,False,True,
stage114_g15_preflight_passed,True,True,True,
colcon_build_returncode,0,0,True,
bridge_alive_after_startup,True,True,True,
disabled_controller_alive_after_startup,True,True,True,
enable_param_get_returncode,0,0,True,
confirm_param_get_returncode,0,0,True,
enable_param_default_false,True,True,True,"Boolean value is: False
"
confirm_param_default_false,True,True,True,"Boolean value is: False
"
torque_topic_info_returncode,0,0,True,
torque_topic_publishers_zero,0,0,True,
torque_topic_subscribers_positive,1,>=1,True,
publisher_path_implemented,False,False,True,
manual_enable_active,False,False,True,
torque_enable_ready,False,False,True,
