metric,value
stage,Stage 11.5
test_name,dormant_publisher_path_source_skeleton
stage114_pass,True
stage114_preflight_passed,True
colcon_build_returncode,0
source_has_no_create_publisher,True
source_has_no_publish_call,True
source_does_not_reference_torque_topic,True
source_declares_enable_param_default_false,True
source_declares_confirm_param_default_false,True
source_uses_safety_utilities,True
source_has_dormant_skeleton_marker,True
source_has_construct_forbidden_marker,True
source_has_publish_forbidden_marker,True
source_has_payload_length_12,True
source_has_dormant_payload_helper,True
dormant_publisher_path_source_skeleton_exists,True
disabled_controller_alive_after_startup,True
enable_param_default_false,True
confirm_param_default_false,True
torque_topic_publishers_zero,True
torque_topic_subscribers_positive,True
publisher_path_implemented,False
manual_enable_active,False
g8_manual_enable_active,False
g9_active_ros_publisher_path_exists,False
g16_dormant_publisher_path_source_skeleton_exists,True
torque_enable_ready,False
control_law_changed,False
torque_publisher_enabled,False
torque_command_published_by_stage115,False
stage11_scope,dormant_publisher_path_source_skeleton_without_ros_publisher_construction
baseline_type,mixed_online_control_baseline
ros2_cpp_realtime_controller_completed,False
pure_wbc_locomotion_completed,False
ekf_completed,False
full_3d_centroidal_mpc_completed,False
num_checks,40
num_failed_checks,0
pass,True
log_csv,results/logs_sample/stage11_dormant_publisher_path_source_skeleton_log.csv
safety_gate_csv,results/logs_sample/stage11_torque_publisher_safety_gate_after_stage115.csv
summary_csv,results/logs_sample/stage11_dormant_publisher_path_source_skeleton_summary.csv
build_stdout,results/logs_sample/stage11_dormant_publisher_path_source_skeleton_build_stdout.txt
build_stderr,results/logs_sample/stage11_dormant_publisher_path_source_skeleton_build_stderr.txt
param_stdout,results/logs_sample/stage11_dormant_publisher_path_source_skeleton_param_stdout.txt
param_stderr,results/logs_sample/stage11_dormant_publisher_path_source_skeleton_param_stderr.txt
bridge_stdout,results/logs_sample/stage11_dormant_publisher_path_source_skeleton_bridge_stdout.txt
bridge_stderr,results/logs_sample/stage11_dormant_publisher_path_source_skeleton_bridge_stderr.txt
controller_stdout,results/logs_sample/stage11_dormant_publisher_path_source_skeleton_controller_stdout.txt
controller_stderr,results/logs_sample/stage11_dormant_publisher_path_source_skeleton_controller_stderr.txt
doc,docs/STAGE11_DORMANT_PUBLISHER_PATH_SOURCE_SKELETON.md
