check,value,expected,pass,detail
stage119_summary_exists,True,True,True,/home/zanshi/robot-mpc-wbc-locomotion/results/logs_sample/stage11_0_8_full_publisher_path_no_active_publisher_freeze_summary.csv
stage119_pass,True,True,True,
stage119_full_publisher_path_no_active_publisher_frozen,True,True,True,
stage119_missing_file_count,0,0,True,
stage119_runtime_observation_publishers_zero_all_rows,True,True,True,
stage119_torque_enable_ready,False,False,True,
stage119_torque_publisher_enabled,False,False,True,
stage119_control_law_changed,False,False,True,
stage110_pass,True,True,True,
stage111_pass,True,True,True,
stage112_pass,True,True,True,
stage113_pass,True,True,True,
stage114_pass,True,True,True,
stage115_pass,True,True,True,
stage116_pass,True,True,True,
stage117_pass,True,True,True,
stage118_pass,True,True,True,
stage119_hash_csv_exists,True,True,True,/home/zanshi/robot-mpc-wbc-locomotion/results/logs_sample/stage11_0_8_full_publisher_path_no_active_publisher_freeze_hashes.csv
stage119_hash_row_count_positive,31,>0,True,
stage119_hash_rows_checked,31,>0,True,
hash_missing_file_count,0,0,True,
hash_mismatch_count,0,0,True,
hash_integrity_passed,True,True,True,
cpp_source_exists,True,True,True,/home/zanshi/robot-mpc-wbc-locomotion/ros2_ws/src/robot_mpc_wbc_cpp_controller/src/disabled_controller_node.cpp
safety_header_exists,True,True,True,/home/zanshi/robot-mpc-wbc-locomotion/ros2_ws/src/robot_mpc_wbc_cpp_controller/include/robot_mpc_wbc_cpp_controller/torque_safety.hpp
zero_header_exists,True,True,True,/home/zanshi/robot-mpc-wbc-locomotion/ros2_ws/src/robot_mpc_wbc_cpp_controller/include/robot_mpc_wbc_cpp_controller/zero_torque_dry_run.hpp
source_has_no_create_publisher,False,False,True,
source_has_no_publish_call,False,False,True,
source_does_not_reference_torque_topic,False,False,True,
source_declares_enable_param_default_false,True,True,True,
source_declares_confirm_param_default_false,True,True,True,
source_uses_safety_utilities,True,True,True,
safety_header_has_clamp_watchdog,True,True,True,
zero_header_declares_12,True,True,True,
source_has_dormant_skeleton_marker,True,True,True,
source_has_construct_forbidden_marker,True,True,True,
source_has_publish_forbidden_marker,True,True,True,
source_has_payload_length_12,True,True,True,
source_has_dormant_payload_helper,True,True,True,
dormant_publisher_path_source_skeleton_exists,True,True,True,
final_gate_input_exists,True,True,True,/home/zanshi/robot-mpc-wbc-locomotion/results/logs_sample/stage11_torque_publisher_safety_gate_after_stage117.csv
G0_status_input,True,True,True,
G1_status_input,True,True,True,
G2_status_input,True,True,True,
G3_status_input,True,True,True,
G4_status_input,True,True,True,
G5_status_input,True,True,True,
G6_status_input,True,True,True,
G7_status_input,True,True,True,
G8_status_input,False,False,True,
G9_status_input,False,False,True,
G10_status_input,True,True,True,
G11_status_input,True,True,True,
G12_status_input,True,True,True,
G13_status_input,True,True,True,
G14_status_input,True,True,True,
G15_status_input,True,True,True,
G16_status_input,True,True,True,
G17_status_input,True,True,True,
manual_enable_active,False,False,True,
active_ros_publisher_path_exists,False,False,True,
full_freeze_integrity_passed,True,True,True,
torque_enable_ready,False,False,True,
