metric,value
stage,Stage 11.10
test_name,stage11_full_freeze_integrity_check
stage119_pass,True
stage119_full_publisher_path_no_active_publisher_frozen,True
stage119_hash_rows_checked,31
hash_missing_file_count,0
hash_mismatch_count,0
hash_integrity_passed,True
stage110_pass,True
stage111_pass,True
stage112_pass,True
stage113_pass,True
stage114_pass,True
stage115_pass,True
stage116_pass,True
stage117_pass,True
stage118_pass,True
source_has_no_create_publisher,True
source_has_no_publish_call,True
source_does_not_reference_torque_topic,True
source_declares_enable_param_default_false,True
source_declares_confirm_param_default_false,True
source_uses_safety_utilities,True
dormant_publisher_path_source_skeleton_exists,True
g8_manual_enable_active,False
g9_active_ros_publisher_path_exists,False
g17_runtime_guard_hardened_for_dormant_publisher_skeleton,True
g18_full_freeze_integrity_check_passed,True
torque_enable_ready,False
control_law_changed,False
torque_publisher_enabled,False
torque_command_published_by_stage1110,False
stage11_scope,full_freeze_integrity_check_only
baseline_type,mixed_online_control_baseline
verified_full_publisher_path_no_active_publisher_frozen,True
ros2_cpp_realtime_controller_completed,False
pure_wbc_locomotion_completed,False
ekf_completed,False
full_3d_centroidal_mpc_completed,False
num_checks,63
num_failed_checks,0
pass,True
log_csv,results/logs_sample/stage11_full_freeze_integrity_check_log.csv
hash_check_csv,results/logs_sample/stage11_full_freeze_integrity_check_hash_check.csv
safety_gate_csv,results/logs_sample/stage11_torque_publisher_safety_gate_after_stage1110.csv
summary_csv,results/logs_sample/stage11_full_freeze_integrity_check_summary.csv
doc,docs/STAGE11_FULL_FREEZE_INTEGRITY_CHECK.md
