check,value,expected,pass,detail
stage1012_summary_exists,True,True,True,/home/zanshi/robot-mpc-wbc-locomotion/results/logs_sample/stage10_0_11_full_no_publisher_controller_freeze_summary.csv
stage1012_pass,True,True,True,
stage1012_full_no_publisher_controller_frozen,True,True,True,
stage1012_torque_enable_ready,False,False,True,
stage1012_torque_publisher_enabled,False,False,True,
stage1012_control_law_changed,False,False,True,
cpp_source_exists,True,True,True,/home/zanshi/robot-mpc-wbc-locomotion/ros2_ws/src/robot_mpc_wbc_cpp_controller/src/disabled_controller_node.cpp
safety_header_exists,True,True,True,/home/zanshi/robot-mpc-wbc-locomotion/ros2_ws/src/robot_mpc_wbc_cpp_controller/include/robot_mpc_wbc_cpp_controller/torque_safety.hpp
zero_header_exists,True,True,True,/home/zanshi/robot-mpc-wbc-locomotion/ros2_ws/src/robot_mpc_wbc_cpp_controller/include/robot_mpc_wbc_cpp_controller/zero_torque_dry_run.hpp
source_has_no_create_publisher,False,False,True,
source_has_no_publish_call,False,False,True,
source_does_not_reference_torque_topic,False,False,True,
source_declares_enable_param_default_false,True,True,True,
source_declares_confirm_param_default_false,True,True,True,
source_uses_safety_utilities,True,True,True,
safety_header_has_clamp_watchdog,True,True,True,
zero_header_declares_12,True,True,True,
stage1010_gate_exists,True,True,True,/home/zanshi/robot-mpc-wbc-locomotion/results/logs_sample/stage10_torque_publisher_safety_gate_after_stage1010.csv
previous_g8_manual_enable_active_false,False,False,True,
previous_g9_publisher_path_exists_false,False,False,True,
previous_g11_manual_enable_params_default_false,True,True,True,
publisher_path_plan_exists,True,True,True,
publisher_path_implemented,False,False,True,
manual_enable_active,False,False,True,
torque_enable_ready,False,False,True,
