metric,value
stage,Stage 11.0
test_name,publisher_path_skeleton_planning_only
stage1012_pass,True
full_no_publisher_controller_frozen,True
source_has_no_create_publisher,True
source_has_no_publish_call,True
source_does_not_reference_torque_topic,True
source_declares_enable_param_default_false,True
source_declares_confirm_param_default_false,True
source_uses_safety_utilities,True
publisher_path_plan_exists,True
publisher_path_implemented,False
manual_enable_active,False
g8_manual_enable_active,False
g9_publisher_path_exists,False
g12_publisher_path_plan_exists,True
torque_enable_ready,False
control_law_changed,False
torque_publisher_enabled,False
torque_command_published_by_stage110,False
stage11_scope,publisher_path_skeleton_planning_only
baseline_type,mixed_online_control_baseline
ros2_cpp_realtime_controller_completed,False
pure_wbc_locomotion_completed,False
ekf_completed,False
full_3d_centroidal_mpc_completed,False
num_checks,25
num_failed_checks,0
pass,True
log_csv,results/logs_sample/stage11_publisher_path_skeleton_planning_log.csv
plan_csv,results/logs_sample/stage11_publisher_path_skeleton_plan.csv
safety_gate_csv,results/logs_sample/stage11_torque_publisher_safety_gate_after_stage110.csv
summary_csv,results/logs_sample/stage11_publisher_path_skeleton_planning_summary.csv
doc,docs/STAGE11_PUBLISHER_PATH_SKELETON_PLANNING_ONLY.md
