check,value,expected,pass,detail
stage110_summary_exists,True,True,True,/home/zanshi/robot-mpc-wbc-locomotion/results/logs_sample/stage11_publisher_path_skeleton_planning_summary.csv
stage110_pass,True,True,True,
stage110_publisher_path_plan_exists,True,True,True,
stage110_publisher_path_implemented,False,False,True,
stage110_manual_enable_active,False,False,True,
stage110_torque_enable_ready,False,False,True,
stage110_torque_publisher_enabled,False,False,True,
stage110_control_law_changed,False,False,True,
stage110_plan_csv_exists,True,True,True,/home/zanshi/robot-mpc-wbc-locomotion/results/logs_sample/stage11_publisher_path_skeleton_plan.csv
stage110_plan_mentions_future_torque_topic,True,True,True,
stage110_plan_all_items_not_implemented,True,True,True,
stage110_plan_has_manual_gate_policy,True,True,True,
stage110_plan_has_safety_filter_policy,True,True,True,
cpp_source_exists,True,True,True,/home/zanshi/robot-mpc-wbc-locomotion/ros2_ws/src/robot_mpc_wbc_cpp_controller/src/disabled_controller_node.cpp
safety_header_exists,True,True,True,/home/zanshi/robot-mpc-wbc-locomotion/ros2_ws/src/robot_mpc_wbc_cpp_controller/include/robot_mpc_wbc_cpp_controller/torque_safety.hpp
zero_header_exists,True,True,True,/home/zanshi/robot-mpc-wbc-locomotion/ros2_ws/src/robot_mpc_wbc_cpp_controller/include/robot_mpc_wbc_cpp_controller/zero_torque_dry_run.hpp
source_has_no_create_publisher,False,False,True,
source_has_no_publish_call,False,False,True,
source_does_not_reference_torque_topic,False,False,True,
source_declares_enable_param_default_false,True,True,True,
source_declares_confirm_param_default_false,True,True,True,
source_uses_safety_utilities,True,True,True,
safety_header_has_clamp_watchdog,True,True,True,
zero_header_declares_12,True,True,True,
stage110_gate_exists,True,True,True,/home/zanshi/robot-mpc-wbc-locomotion/results/logs_sample/stage11_torque_publisher_safety_gate_after_stage110.csv
stage110_g8_manual_enable_active_false,False,False,True,
stage110_g9_publisher_path_exists_false,False,False,True,
stage110_g12_plan_exists_true,True,True,True,
colcon_build_returncode,0,0,True,
bridge_alive_after_startup,True,True,True,
disabled_controller_alive_after_startup,True,True,True,
enable_param_get_returncode,0,0,True,
confirm_param_get_returncode,0,0,True,
enable_param_default_false,True,True,True,"Boolean value is: False
"
confirm_param_default_false,True,True,True,"Boolean value is: False
"
torque_topic_info_returncode,0,0,True,
torque_topic_publishers_zero,0,0,True,
torque_topic_subscribers_positive,1,>=1,True,
manual_enable_active,False,False,True,
publisher_path_implemented,False,False,True,
torque_enable_ready,False,False,True,
