metric,value
stage,Stage 11.1
test_name,publisher_path_source_guard_before_implementation
stage110_pass,True
stage110_publisher_path_plan_exists,True
stage110_publisher_path_implemented,False
colcon_build_returncode,0
source_has_no_create_publisher,True
source_has_no_publish_call,True
source_does_not_reference_torque_topic,True
source_declares_enable_param_default_false,True
source_declares_confirm_param_default_false,True
source_uses_safety_utilities,True
enable_param_default_false,True
confirm_param_default_false,True
torque_topic_publishers_zero,True
torque_topic_subscribers_positive,True
publisher_path_source_guard_passed,True
publisher_path_implemented,False
manual_enable_active,False
g8_manual_enable_active,False
g9_publisher_path_exists,False
g13_publisher_path_source_guard_passed,True
torque_enable_ready,False
control_law_changed,False
torque_publisher_enabled,False
torque_command_published_by_stage111,False
stage11_scope,publisher_path_source_guard_before_implementation_only
baseline_type,mixed_online_control_baseline
ros2_cpp_realtime_controller_completed,False
pure_wbc_locomotion_completed,False
ekf_completed,False
full_3d_centroidal_mpc_completed,False
num_checks,41
num_failed_checks,0
pass,True
log_csv,results/logs_sample/stage11_publisher_path_source_guard_log.csv
safety_gate_csv,results/logs_sample/stage11_torque_publisher_safety_gate_after_stage111.csv
summary_csv,results/logs_sample/stage11_publisher_path_source_guard_summary.csv
build_stdout,results/logs_sample/stage11_publisher_path_source_guard_build_stdout.txt
build_stderr,results/logs_sample/stage11_publisher_path_source_guard_build_stderr.txt
param_stdout,results/logs_sample/stage11_publisher_path_source_guard_param_stdout.txt
param_stderr,results/logs_sample/stage11_publisher_path_source_guard_param_stderr.txt
bridge_stdout,results/logs_sample/stage11_publisher_path_source_guard_bridge_stdout.txt
bridge_stderr,results/logs_sample/stage11_publisher_path_source_guard_bridge_stderr.txt
controller_stdout,results/logs_sample/stage11_publisher_path_source_guard_controller_stdout.txt
controller_stderr,results/logs_sample/stage11_publisher_path_source_guard_controller_stderr.txt
doc,docs/STAGE11_PUBLISHER_PATH_SOURCE_GUARD_BEFORE_IMPLEMENTATION.md
