metric,value
stage,Stage 11.7
test_name,runtime_guard_hardening_for_dormant_publisher_skeleton
stage116_pass,True
dormant_publisher_path_source_skeleton_frozen,True
colcon_build_returncode,0
source_has_no_create_publisher,True
source_has_no_publish_call,True
source_does_not_reference_torque_topic,True
dormant_publisher_path_source_skeleton_exists,True
runtime_expected_sample_count,6
runtime_observed_sample_count,6
topic_info_all_returncode_zero,True
torque_publishers_zero_all_samples,True
torque_subscribers_positive_all_samples,True
enable_param_default_false,True
confirm_param_default_false,True
dormant_publisher_runtime_guard_hardened,True
publisher_path_implemented,False
manual_enable_active,False
g8_manual_enable_active,False
g9_active_ros_publisher_path_exists,False
g17_runtime_guard_hardened_for_dormant_publisher_skeleton,True
torque_enable_ready,False
control_law_changed,False
torque_publisher_enabled,False
torque_command_published_by_stage117,False
stage11_scope,runtime_guard_hardening_for_dormant_publisher_skeleton_only
baseline_type,mixed_online_control_baseline
ros2_cpp_realtime_controller_completed,False
pure_wbc_locomotion_completed,False
ekf_completed,False
full_3d_centroidal_mpc_completed,False
num_checks,43
num_failed_checks,0
pass,True
log_csv,results/logs_sample/stage11_runtime_guard_hardening_for_dormant_publisher_skeleton_log.csv
observations_csv,results/logs_sample/stage11_runtime_guard_hardening_topic_observations.csv
safety_gate_csv,results/logs_sample/stage11_torque_publisher_safety_gate_after_stage117.csv
summary_csv,results/logs_sample/stage11_runtime_guard_hardening_for_dormant_publisher_skeleton_summary.csv
build_stdout,results/logs_sample/stage11_runtime_guard_hardening_build_stdout.txt
build_stderr,results/logs_sample/stage11_runtime_guard_hardening_build_stderr.txt
param_stdout,results/logs_sample/stage11_runtime_guard_hardening_param_stdout.txt
param_stderr,results/logs_sample/stage11_runtime_guard_hardening_param_stderr.txt
bridge_stdout,results/logs_sample/stage11_runtime_guard_hardening_bridge_stdout.txt
bridge_stderr,results/logs_sample/stage11_runtime_guard_hardening_bridge_stderr.txt
controller_stdout,results/logs_sample/stage11_runtime_guard_hardening_controller_stdout.txt
controller_stderr,results/logs_sample/stage11_runtime_guard_hardening_controller_stderr.txt
doc,docs/STAGE11_RUNTIME_GUARD_HARDENING_FOR_DORMANT_PUBLISHER_SKELETON.md
