check,value,expected,pass,detail
stage1214r2_summary_exists,True,True,True,/home/zanshi/robot-mpc-wbc-locomotion/results/logs_sample/stage12_bounded_one_shot_publish_call_repair2_summary.csv
stage1214r2_pass,True,True,True,
previous_repair2_passed,True,True,True,
previous_bounded_zero_safe_torque_message_published,True,True,True,
previous_no_continuous_streaming,True,True,True,
previous_payload_length_12,True,True,True,
previous_payload_all_zero,True,True,True,
previous_publish_count_one,True,True,True,
stage1214r2_gate_exists,True,True,True,/home/zanshi/robot-mpc-wbc-locomotion/results/logs_sample/stage12_torque_publisher_safety_gate_after_stage1214_repair2.csv
g32_true_before_stage1215,True,True,True,
g34_true_before_stage1215,True,True,True,
source_exists,True,True,True,/home/zanshi/robot-mpc-wbc-locomotion/ros2_ws/src/robot_mpc_wbc_cpp_controller/src/disabled_controller_node.cpp
publish_call_count,1,1,True,
source_has_exactly_one_publish_call,True,True,True,
source_has_delayed_one_shot_timer,True,True,True,
source_has_timer_member,True,True,True,
source_has_zero_safe_message_helper,True,True,True,
source_uses_zero_safe_message_helper,True,True,True,
source_has_stage1214_marker,True,True,True,
source_has_stage124_marker,True,True,True,
source_references_torque_topic,True,True,True,
source_has_active_publisher_member,True,True,True,
source_timer_cancels_itself,True,True,True,
colcon_build_returncode,0,0,True,
bridge_alive_after_startup,True,True,True,
default_controller_alive_after_startup,True,True,True,
enabled_controller_alive_after_startup,True,True,True,
source_unchanged_by_stage1215,True,True,True,
missing_freeze_file_count,0,0,True,
default_echo_returncode_timeout,124,124,True,
default_disabled_no_message_observed,True,True,True,
manual_enable_active_during_enabled_test,True,True,True,
manual_enable_reverted_false,True,True,True,
runtime_topic_sample_count,10,10,True,
topic_info_all_returncode_zero,True,True,True,
torque_publishers_positive_all_samples,True,True,True,
torque_subscribers_positive_all_samples,True,True,True,
enabled_echo1_returncode,0,0,True,
enabled_first_message_received,True,True,True,
enabled_payload_length,12,12,True,
enabled_payload_all_finite,True,True,True,
enabled_payload_all_zero,True,True,True,
enabled_echo2_returncode_timeout,124,124,True,
enabled_second_echo_timeout_no_extra_message,True,True,True,
bounded_zero_safe_torque_message_published_by_stage1215,True,True,True,
continuous_torque_streaming_enabled,False,False,True,
default_disabled_regression_passed,True,True,True,
enabled_bounded_publish_regression_passed,True,True,True,
enabled_controller_alive_after_publish,True,True,True,
bounded_one_shot_publish_call_freeze_regression_passed,True,True,True,
torque_enable_ready,False,False,True,
control_law_changed,False,False,True,
torque_publisher_enabled,False,False,True,
torque_command_published_by_stage1215,True,True,True,
