metric,value
stage,Stage 12.15
test_name,bounded_one_shot_publish_call_freeze_regression
stage1214r2_pass,True
previous_repair2_passed,True
previous_bounded_zero_safe_torque_message_published,True
previous_no_continuous_streaming,True
freeze_file_count,10
missing_file_count,0
source_hash_before,1970e55723158545b775a707b99f4e5801f80d96f93cf1f3301f5e27aa15d3e6
source_hash_after,1970e55723158545b775a707b99f4e5801f80d96f93cf1f3301f5e27aa15d3e6
source_unchanged_by_stage1215,True
publish_call_count,1
source_has_exactly_one_publish_call,True
source_has_delayed_one_shot_timer,True
source_has_timer_member,True
source_timer_cancels_itself,True
source_has_zero_safe_message_helper,True
source_uses_zero_safe_message_helper,True
source_has_stage1214_marker,True
source_has_stage124_marker,True
source_references_torque_topic,True
source_has_active_publisher_member,True
colcon_build_returncode,0
default_echo_returncode,124
default_disabled_no_message_observed,True
manual_enable_active_during_enabled_test,True
manual_enable_reverted_false,True
runtime_topic_sample_count,10
topic_info_all_returncode_zero,True
torque_publishers_positive_all_samples,True
torque_subscribers_positive_all_samples,True
enabled_echo1_returncode,0
enabled_first_message_received,True
enabled_payload_length,12
enabled_payload_all_finite,True
enabled_payload_all_zero,True
enabled_echo2_returncode,124
enabled_second_echo_timeout_no_extra_message,True
bounded_zero_safe_torque_message_published_by_stage1215,True
continuous_torque_streaming_enabled,False
default_disabled_regression_passed,True
enabled_bounded_publish_regression_passed,True
bounded_one_shot_publish_call_freeze_regression_passed,True
active_ros_publisher_path_exists,True
g3_no_publish_call,False
g8_manual_enable_active_after_revert,False
g9_active_ros_publisher_path_exists,True
g32_bounded_one_shot_zero_safe_publish_call_implementation_passed,True
g34_bounded_one_shot_publish_call_delayed_repair_passed,True
g35_bounded_one_shot_publish_call_freeze_regression_passed,True
torque_enable_ready,False
control_law_changed,False
torque_publisher_enabled,False
torque_command_published_by_stage1215,True
stage12_scope,bounded_one_shot_publish_call_freeze_regression
baseline_type,mixed_online_control_baseline
continuous_torque_streaming_completed,False
ros2_cpp_realtime_controller_completed,False
pure_wbc_locomotion_completed,False
ekf_completed,False
full_3d_centroidal_mpc_completed,False
hardware_deployment_completed,False
num_checks,54
num_failed_checks,0
pass,True
log_csv,results/logs_sample/stage12_bounded_one_shot_publish_call_freeze_regression_log.csv
hash_csv,results/logs_sample/stage12_bounded_one_shot_publish_call_freeze_regression_hashes.csv
param_observations_csv,results/logs_sample/stage12_bounded_one_shot_publish_call_freeze_regression_param_observations.csv
topic_observations_csv,results/logs_sample/stage12_bounded_one_shot_publish_call_freeze_regression_topic_observations.csv
default_echo_stdout,results/logs_sample/stage12_bounded_one_shot_publish_call_freeze_default_echo_stdout.txt
default_echo_stderr,results/logs_sample/stage12_bounded_one_shot_publish_call_freeze_default_echo_stderr.txt
enabled_echo1_stdout,results/logs_sample/stage12_bounded_one_shot_publish_call_freeze_enabled_echo1_stdout.txt
enabled_echo1_stderr,results/logs_sample/stage12_bounded_one_shot_publish_call_freeze_enabled_echo1_stderr.txt
enabled_echo2_stdout,results/logs_sample/stage12_bounded_one_shot_publish_call_freeze_enabled_echo2_stdout.txt
enabled_echo2_stderr,results/logs_sample/stage12_bounded_one_shot_publish_call_freeze_enabled_echo2_stderr.txt
safety_gate_csv,results/logs_sample/stage12_torque_publisher_safety_gate_after_stage1215.csv
summary_csv,results/logs_sample/stage12_bounded_one_shot_publish_call_freeze_regression_summary.csv
build_stdout,results/logs_sample/stage12_bounded_one_shot_publish_call_freeze_build_stdout.txt
build_stderr,results/logs_sample/stage12_bounded_one_shot_publish_call_freeze_build_stderr.txt
doc,docs/STAGE12_BOUNDED_ONE_SHOT_PUBLISH_CALL_FREEZE_REGRESSION.md
