check,value,expected,pass,detail
failed_stage1214_summary_exists,True,True,True,/home/zanshi/robot-mpc-wbc-locomotion/results/logs_sample/stage12_bounded_one_shot_zero_safe_publish_call_source_patch_summary.csv
previous_stage1214_pass,False,False,True,
previous_first_echo_timeout,True,True,True,
previous_no_first_message,True,True,True,
previous_source_patch_applied,True,True,True,
previous_publish_count_one,True,True,True,
previous_no_continuous_streaming,True,True,True,
pre_repair_publish_call_count,1,1,True,
pre_repair_has_stage1214_marker,True,True,True,
source_patch_repair_applied,True,True,True,
post_publish_call_count,1,1,True,
post_has_exactly_one_publish_call,True,True,True,
post_has_stage1214_marker,True,True,True,
post_has_delayed_one_shot_timer,False,True,False,
post_has_zero_safe_message_helper,True,True,True,
post_forbids_continuous_publish,True,True,True,
colcon_build_returncode,0,0,True,
bridge_alive_after_startup,True,True,True,
disabled_controller_alive_after_startup,True,True,True,
manual_enable_active_during_test,True,True,True,
manual_enable_reverted_false,True,True,True,
runtime_topic_sample_count,6,6,True,
topic_info_all_returncode_zero,True,True,True,
torque_publishers_positive_all_samples,True,True,True,
torque_subscribers_positive_all_samples,True,True,True,
first_echo_returncode,124,0,False,
first_echo_message_received,False,True,False,
first_echo_payload_length,0,12,False,
first_echo_payload_all_finite,True,True,True,
first_echo_payload_all_zero,False,True,False,
second_echo_returncode_timeout,124,124,True,
second_echo_timeout_no_extra_message,True,True,True,
continuous_torque_streaming_enabled,False,False,True,
controller_alive_after_publish,True,True,True,
bounded_zero_safe_torque_message_published,False,True,False,
bounded_one_shot_publish_call_repair_passed,False,True,False,
torque_enable_ready,False,False,True,
torque_publisher_enabled,False,False,True,
torque_command_published_by_stage1214_repair,False,True,False,
control_law_changed,False,False,True,
