check,value,expected,pass,detail
stage1213_summary_exists,True,True,True,/home/zanshi/robot-mpc-wbc-locomotion/results/logs_sample/stage12_bounded_publish_call_source_patch_preflight_freeze_summary.csv
stage1213_pass,True,True,True,
stage1213_preflight_frozen,True,True,True,
stage1213_source_has_publish_call,False,False,True,
stage1213_active_ros_publisher_path_exists,True,True,True,
stage1213_manual_enable_active,False,False,True,
stage1213_torque_enable_ready,False,False,True,
stage1213_torque_publisher_enabled,False,False,True,
stage1213_torque_command_published,False,False,True,
stage1213_control_law_changed,False,False,True,
stage1213_gate_exists,True,True,True,/home/zanshi/robot-mpc-wbc-locomotion/results/logs_sample/stage12_torque_publisher_safety_gate_after_stage1213.csv
stage1213_gate_g3_true,True,True,True,
stage1213_gate_g8_false,False,False,True,
stage1213_gate_g9_true,True,True,True,
stage1213_gate_g31_true,True,True,True,
pre_source_has_create_publisher,True,True,True,
pre_source_has_no_publish_call,False,False,True,
pre_source_references_torque_topic,True,True,True,
pre_source_has_active_publisher_member,True,True,True,
pre_source_has_stage124_marker,True,True,True,
source_patch_applied,True,True,True,
post_source_has_create_publisher,True,True,True,
post_publish_call_count,1,1,True,
post_source_has_one_publish_call,True,True,True,
post_source_references_torque_topic,True,True,True,
post_source_has_active_publisher_member,True,True,True,
post_source_has_stage124_marker,True,True,True,
post_source_has_stage1214_marker,True,True,True,
post_source_has_bounded_publish_helper,True,True,True,
post_source_has_zero_safe_message_helper,True,True,True,
post_source_uses_safety_chain,True,True,True,
post_source_forbids_continuous_publish,True,True,True,
safety_header_has_clamp_watchdog,True,True,True,
zero_header_declares_12,True,True,True,
colcon_build_returncode,0,0,True,
bridge_alive_after_startup,True,True,True,
disabled_controller_alive_after_startup,True,True,True,
manual_enable_active_during_test,True,True,True,
manual_enable_reverted_false,True,True,True,
runtime_topic_sample_count,6,6,True,
topic_info_all_returncode_zero,True,True,True,
torque_publishers_positive_all_samples,True,True,True,
torque_subscribers_positive_all_samples,True,True,True,
first_echo_returncode,124,0,False,
first_echo_message_received,False,True,False,
first_echo_payload_length,0,12,False,
first_echo_payload_all_finite,True,True,True,
first_echo_payload_all_zero,False,True,False,
second_echo_returncode_timeout,124,124,True,
second_echo_timeout_no_extra_message,True,True,True,
controller_alive_after_publish,True,True,True,
bounded_zero_safe_torque_message_published,False,True,False,
continuous_torque_streaming_enabled,False,False,True,
bounded_one_shot_publish_call_implemented,False,True,False,
active_ros_publisher_path_exists,True,True,True,
torque_enable_ready,False,False,True,
torque_publisher_enabled,False,False,True,
torque_command_published_by_stage1214,False,True,False,
control_law_changed,False,False,True,
