check,value,expected,pass,detail
stage1211_summary_exists,True,True,True,/home/zanshi/robot-mpc-wbc-locomotion/results/logs_sample/stage12_bounded_zero_safe_publish_call_implementation_plan_summary.csv
stage1211_pass,True,True,True,
stage1211_plan_complete,True,True,True,
stage1212_summary_exists,True,True,True,/home/zanshi/robot-mpc-wbc-locomotion/results/logs_sample/stage12_bounded_publish_call_source_patch_design_summary.csv
stage1212_pass,True,True,True,
stage1212_design_complete,True,True,True,
stage1212_source_unchanged,True,True,True,
stage1212_source_has_publish_call,False,False,True,
stage1212_active_ros_publisher_path_exists,True,True,True,
stage1212_manual_enable_active,False,False,True,
stage1212_torque_enable_ready,False,False,True,
stage1212_torque_publisher_enabled,False,False,True,
stage1212_torque_command_published,False,False,True,
stage1212_control_law_changed,False,False,True,
stage1211_plan_csv_exists,True,True,True,/home/zanshi/robot-mpc-wbc-locomotion/results/logs_sample/stage12_bounded_zero_safe_publish_call_implementation_plan.csv
stage1211_plan_all_not_implemented,True,True,True,
stage1211_plan_has_publish_limit,True,True,True,
stage1211_plan_has_safe_payload,True,True,True,
stage1211_plan_has_safety_chain,True,True,True,
stage1211_plan_has_abort_conditions,True,True,True,
stage1212_design_csv_exists,True,True,True,/home/zanshi/robot-mpc-wbc-locomotion/results/logs_sample/stage12_bounded_publish_call_source_patch_design.csv
stage1212_design_all_not_applied,True,True,True,
stage1212_design_has_publish_helper,True,True,True,
stage1212_design_has_message_helper,True,True,True,
stage1212_design_has_publish_call_site,True,True,True,
stage1212_design_has_precondition_gate,True,True,True,
stage1212_design_has_safety_chain,True,True,True,
stage1212_design_has_payload_contract,True,True,True,
stage1212_design_has_publish_count_limit,True,True,True,
stage1212_design_forbids_timer_loop,True,True,True,
stage1212_design_forbids_control_law_change,True,True,True,
stage1212_design_has_runtime_evidence,True,True,True,
stage1212_design_has_revert_procedure,True,True,True,
stage1212_design_has_abort_conditions,True,True,True,
cpp_source_exists,True,True,True,/home/zanshi/robot-mpc-wbc-locomotion/ros2_ws/src/robot_mpc_wbc_cpp_controller/src/disabled_controller_node.cpp
current_source_has_create_publisher,True,True,True,
current_source_has_no_publish_call,False,False,True,
current_source_references_torque_topic,True,True,True,
current_source_has_active_publisher_member,True,True,True,
current_source_has_stage124_marker,True,True,True,
source_declares_enable_param_default_false,True,True,True,
source_declares_confirm_param_default_false,True,True,True,
source_uses_safety_utilities,True,True,True,
safety_header_has_clamp_watchdog,True,True,True,
zero_header_declares_12,True,True,True,
stage1212_gate_exists,True,True,True,/home/zanshi/robot-mpc-wbc-locomotion/results/logs_sample/stage12_torque_publisher_safety_gate_after_stage1212.csv
G2_status_after_stage1212,False,False,True,
G3_status_after_stage1212,True,True,True,
G8_status_after_stage1212,False,False,True,
G9_status_after_stage1212,True,True,True,
G28_status_after_stage1212,True,True,True,
G29_status_after_stage1212,True,True,True,
G30_status_after_stage1212,True,True,True,
missing_freeze_file_count,0,0,True,
bounded_publish_call_source_patch_preflight_frozen,True,True,True,
manual_enable_active,False,False,True,
active_ros_publisher_path_exists,True,True,True,
torque_enable_ready,False,False,True,
control_law_changed,False,False,True,
torque_publisher_enabled,False,False,True,
torque_command_published_by_stage1213,False,False,True,
