metric,value
stage,Stage 12.13
test_name,bounded_publish_call_source_patch_preflight_freeze
stage1211_pass,True
stage1211_bounded_zero_safe_publish_call_implementation_plan_complete,True
stage1212_pass,True
stage1212_bounded_publish_call_source_patch_design_complete,True
stage1212_source_unchanged_by_stage1212,True
freeze_file_count,11
missing_file_count,0
current_source_has_create_publisher,True
current_source_has_publish_call,False
current_source_references_torque_topic,True
current_source_has_active_publisher_member,True
current_source_has_stage124_marker,True
design_all_items_not_applied,True
design_has_publish_helper,True
design_has_message_helper,True
design_has_publish_call_site,True
design_has_precondition_gate,True
design_has_safety_chain,True
design_has_payload_contract,True
design_has_publish_count_limit,True
design_forbids_timer_loop,True
design_forbids_control_law_change,True
design_has_runtime_evidence,True
design_has_revert_procedure,True
design_has_abort_conditions,True
bounded_publish_call_source_patch_preflight_frozen,True
manual_enable_active,False
active_ros_publisher_path_exists,True
g3_no_publish_call,True
g8_manual_enable_active,False
g9_active_ros_publisher_path_exists,True
g30_bounded_publish_call_source_patch_design_exists,True
g31_bounded_publish_call_source_patch_preflight_freeze_passed,True
torque_enable_ready,False
control_law_changed,False
torque_publisher_enabled,False
torque_command_published_by_stage1213,False
stage12_scope,bounded_publish_call_source_patch_preflight_freeze_only
baseline_type,mixed_online_control_baseline
ros2_cpp_realtime_controller_completed,False
pure_wbc_locomotion_completed,False
ekf_completed,False
full_3d_centroidal_mpc_completed,False
num_checks,61
num_failed_checks,0
pass,True
log_csv,results/logs_sample/stage12_bounded_publish_call_source_patch_preflight_freeze_log.csv
hash_csv,results/logs_sample/stage12_bounded_publish_call_source_patch_preflight_freeze_hashes.csv
safety_gate_csv,results/logs_sample/stage12_torque_publisher_safety_gate_after_stage1213.csv
summary_csv,results/logs_sample/stage12_bounded_publish_call_source_patch_preflight_freeze_summary.csv
doc,docs/STAGE12_BOUNDED_PUBLISH_CALL_SOURCE_PATCH_PREFLIGHT_FREEZE.md
