check,value,expected,pass,detail
stage1210_summary_exists,True,True,True,/home/zanshi/robot-mpc-wbc-locomotion/results/logs_sample/stage12_publish_call_preflight_freeze_summary.csv
stage1210_pass,True,True,True,
stage1210_publish_call_preflight_frozen,True,True,True,
stage1210_current_source_has_create_publisher,True,True,True,
stage1210_current_source_has_publish_call,False,False,True,
stage1210_active_ros_publisher_path_exists,True,True,True,
stage1210_manual_enable_active,False,False,True,
stage1210_torque_enable_ready,False,False,True,
stage1210_torque_publisher_enabled,False,False,True,
stage1210_torque_command_published,False,False,True,
stage1210_control_law_changed,False,False,True,
cpp_source_exists,True,True,True,/home/zanshi/robot-mpc-wbc-locomotion/ros2_ws/src/robot_mpc_wbc_cpp_controller/src/disabled_controller_node.cpp
source_has_create_publisher,True,True,True,
source_has_no_publish_call,False,False,True,
source_references_torque_topic,True,True,True,
source_has_active_publisher_member,True,True,True,
source_has_stage124_marker,True,True,True,
source_declares_enable_param_default_false,True,True,True,
source_declares_confirm_param_default_false,True,True,True,
source_uses_safety_utilities,True,True,True,
safety_header_has_clamp_watchdog,True,True,True,
zero_header_declares_12,True,True,True,
stage1210_gate_exists,True,True,True,/home/zanshi/robot-mpc-wbc-locomotion/results/logs_sample/stage12_torque_publisher_safety_gate_after_stage1210.csv
G2_status_after_stage1210,False,False,True,
G3_status_after_stage1210,True,True,True,
G8_status_after_stage1210,False,False,True,
G9_status_after_stage1210,True,True,True,
G26_status_after_stage1210,True,True,True,
G27_status_after_stage1210,True,True,True,
G28_status_after_stage1210,True,True,True,
bounded_zero_safe_publish_call_implementation_plan_exists,True,True,True,/home/zanshi/robot-mpc-wbc-locomotion/results/logs_sample/stage12_bounded_zero_safe_publish_call_implementation_plan.csv
plan_all_items_not_implemented,True,True,True,
plan_has_publish_limit,True,True,True,
plan_has_safe_payload,True,True,True,
plan_has_payload_order,True,True,True,
plan_has_preconditions,True,True,True,
plan_has_safety_chain,True,True,True,
plan_has_source_boundary,True,True,True,
plan_has_runtime_evidence,True,True,True,
plan_has_revert_procedure,True,True,True,
plan_has_abort_conditions,True,True,True,
source_unchanged_by_stage1211,True,True,True,
bounded_zero_safe_publish_call_implementation_plan_complete,True,True,True,
manual_enable_active,False,False,True,
active_ros_publisher_path_exists,True,True,True,
torque_enable_ready,False,False,True,
control_law_changed,False,False,True,
torque_publisher_enabled,False,False,True,
torque_command_published_by_stage1211,False,False,True,
