check,value,expected,pass,detail
Stage 12.0_summary_exists,True,True,True,/home/zanshi/robot-mpc-wbc-locomotion/results/logs_sample/stage12_active_publisher_construction_planning_summary.csv
Stage 12.0_pass,True,True,True,
Stage 12.1_summary_exists,True,True,True,/home/zanshi/robot-mpc-wbc-locomotion/results/logs_sample/stage12_pre_construction_source_runtime_guard_summary.csv
Stage 12.1_pass,True,True,True,
Stage 12.2_summary_exists,True,True,True,/home/zanshi/robot-mpc-wbc-locomotion/results/logs_sample/stage12_publisher_construction_source_patch_design_summary.csv
Stage 12.2_pass,True,True,True,
stage120_active_publisher_construction_planning_complete,True,True,True,
stage120_g19_active_publisher_construction_planning_exists,True,True,True,
stage121_pre_construction_source_runtime_guard_passed,True,True,True,
stage121_g20_pre_construction_source_runtime_guard_passed,True,True,True,
stage121_torque_publishers_zero_all_samples,True,True,True,
stage122_publisher_construction_source_patch_design_complete,True,True,True,
stage122_source_unchanged_by_stage122,True,True,True,
stage122_g21_publisher_construction_source_patch_design_exists,True,True,True,
control_law_changed_any,False,False,True,
torque_publisher_enabled_any,False,False,True,
active_ros_publisher_path_exists_any,False,False,True,
manual_enable_active_any,False,False,True,
torque_command_published_any,False,False,True,
cpp_source_exists,True,True,True,/home/zanshi/robot-mpc-wbc-locomotion/ros2_ws/src/robot_mpc_wbc_cpp_controller/src/disabled_controller_node.cpp
safety_header_exists,True,True,True,/home/zanshi/robot-mpc-wbc-locomotion/ros2_ws/src/robot_mpc_wbc_cpp_controller/include/robot_mpc_wbc_cpp_controller/torque_safety.hpp
zero_header_exists,True,True,True,/home/zanshi/robot-mpc-wbc-locomotion/ros2_ws/src/robot_mpc_wbc_cpp_controller/include/robot_mpc_wbc_cpp_controller/zero_torque_dry_run.hpp
source_has_no_create_publisher,False,False,True,
source_has_no_publish_call,False,False,True,
source_does_not_reference_torque_topic,False,False,True,
source_declares_enable_param_default_false,True,True,True,
source_declares_confirm_param_default_false,True,True,True,
source_uses_safety_utilities,True,True,True,
safety_header_has_clamp_watchdog,True,True,True,
zero_header_declares_12,True,True,True,
dormant_publisher_path_source_skeleton_exists,True,True,True,
stage122_safety_gate_exists,True,True,True,/home/zanshi/robot-mpc-wbc-locomotion/results/logs_sample/stage12_torque_publisher_safety_gate_after_stage122.csv
G0_status_after_stage122,True,True,True,
G1_status_after_stage122,True,True,True,
G2_status_after_stage122,True,True,True,
G3_status_after_stage122,True,True,True,
G4_status_after_stage122,True,True,True,
G5_status_after_stage122,True,True,True,
G6_status_after_stage122,True,True,True,
G7_status_after_stage122,True,True,True,
G8_status_after_stage122,False,False,True,
G9_status_after_stage122,False,False,True,
G10_status_after_stage122,True,True,True,
G11_status_after_stage122,True,True,True,
G12_status_after_stage122,True,True,True,
G13_status_after_stage122,True,True,True,
G14_status_after_stage122,True,True,True,
G15_status_after_stage122,True,True,True,
G16_status_after_stage122,True,True,True,
G17_status_after_stage122,True,True,True,
G18_status_after_stage122,True,True,True,
G19_status_after_stage122,True,True,True,
G20_status_after_stage122,True,True,True,
G21_status_after_stage122,True,True,True,
torque_enable_ready_after_stage122,False,False,True,
missing_freeze_file_count,0,0,True,
construction_stage_preflight_frozen,True,True,True,
