check,value,expected,pass,detail
stage1215_summary_exists,True,True,True,/home/zanshi/robot-mpc-wbc-locomotion/results/logs_sample/stage12_bounded_one_shot_publish_call_freeze_regression_summary.csv
stage1215_pass,True,True,True,
stage1215_freeze_regression_passed,True,True,True,
stage1215_default_disabled_regression_passed,True,True,True,
stage1215_enabled_bounded_publish_regression_passed,True,True,True,
stage1215_no_continuous_streaming,True,True,True,
stage1215_publish_call_count_one,True,True,True,
stage1215_source_unchanged,True,True,True,
stage1215_torque_enable_ready,False,False,True,
stage1215_torque_publisher_enabled,False,False,True,
stage1215_control_law_changed,False,False,True,
stage1215_gate_exists,True,True,True,/home/zanshi/robot-mpc-wbc-locomotion/results/logs_sample/stage12_torque_publisher_safety_gate_after_stage1215.csv
G3_status_after_stage1215,False,False,True,
G8_status_after_stage1215,False,False,True,
G9_status_after_stage1215,True,True,True,
G32_status_after_stage1215,True,True,True,
G34_status_after_stage1215,True,True,True,
G35_status_after_stage1215,True,True,True,
cpp_source_exists,True,True,True,/home/zanshi/robot-mpc-wbc-locomotion/ros2_ws/src/robot_mpc_wbc_cpp_controller/src/disabled_controller_node.cpp
publish_call_count,1,1,True,
source_has_exactly_one_publish_call,True,True,True,
source_has_delayed_one_shot_timer,True,True,True,
source_has_timer_member,True,True,True,
source_timer_cancels_itself,True,True,True,
source_has_zero_safe_message_helper,True,True,True,
source_uses_zero_safe_message_helper,True,True,True,
source_has_stage1214_marker,True,True,True,
source_has_stage124_marker,True,True,True,
source_references_torque_topic,True,True,True,
source_has_active_publisher_member,True,True,True,
continuous_torque_streaming_design_exists,True,True,True,/home/zanshi/robot-mpc-wbc-locomotion/results/logs_sample/stage12_continuous_torque_streaming_design.csv
design_all_items_not_implemented,True,True,True,
design_has_manual_flags,True,True,True,
design_has_rate_limit,True,True,True,
design_has_duration_limit,True,True,True,
design_has_payload_contract,True,True,True,
design_has_safety_chain,True,True,True,
design_has_watchdog,True,True,True,
design_has_start_stop,True,True,True,
design_has_runtime_evidence,True,True,True,
design_forbids_hardware,True,True,True,
design_forbids_control_law_change,True,True,True,
design_has_abort_conditions,True,True,True,
continuous_torque_streaming_design_complete,True,True,True,
source_unchanged_by_stage1216,True,True,True,
manual_enable_active,False,False,True,
active_ros_publisher_path_exists,True,True,True,
continuous_torque_streaming_completed,False,False,True,
torque_enable_ready,False,False,True,
control_law_changed,False,False,True,
torque_publisher_enabled,False,False,True,
torque_command_published_by_stage1216,False,False,True,
