check,value,expected,pass,detail
stage1217_summary_exists,True,True,True,/home/zanshi/robot-mpc-wbc-locomotion/results/logs_sample/stage12_continuous_torque_streaming_preflight_freeze_summary.csv
stage1217_pass,True,True,True,
stage1217_preflight_frozen,True,True,True,
stage1218_summary_exists,True,True,True,/home/zanshi/robot-mpc-wbc-locomotion/results/logs_sample/stage12_continuous_torque_streaming_source_patch_design_summary.csv
stage1218_pass,True,True,True,
stage1218_design_complete,True,True,True,
stage1218_source_unchanged,True,True,True,
stage1218_source_no_streaming_flags,True,True,True,
stage1218_source_no_streaming_timer,True,True,True,
stage1218_publish_count_one,True,True,True,
stage1218_continuous_streaming_completed,False,False,True,
stage1218_torque_enable_ready,False,False,True,
stage1218_torque_publisher_enabled,False,False,True,
stage1218_torque_command_published,False,False,True,
stage1218_control_law_changed,False,False,True,
stage1218_design_csv_exists,True,True,True,/home/zanshi/robot-mpc-wbc-locomotion/results/logs_sample/stage12_continuous_torque_streaming_source_patch_design.csv
design_all_items_not_applied,True,True,True,
design_has_patch_target,True,True,True,
design_has_stage_marker,True,True,True,
design_has_continuous_params,True,True,True,
design_has_four_flag_gate,True,True,True,
design_has_timer_member,True,True,True,
design_has_timer_rate,True,True,True,
design_has_duration_limit,True,True,True,
design_reuses_single_publish_call,True,True,True,
design_has_streaming_tick_helper,True,True,True,
design_has_message_payload,True,True,True,
design_has_safety_chain,True,True,True,
design_has_stop_conditions,True,True,True,
design_has_runtime_evidence,True,True,True,
design_forbids_hardware,True,True,True,
design_forbids_control_law_change,True,True,True,
design_has_abort_conditions,True,True,True,
stage1218_gate_exists,True,True,True,/home/zanshi/robot-mpc-wbc-locomotion/results/logs_sample/stage12_torque_publisher_safety_gate_after_stage1218.csv
G3_status_after_stage1218,False,False,True,
G8_status_after_stage1218,False,False,True,
G9_status_after_stage1218,True,True,True,
G35_status_after_stage1218,True,True,True,
G36_status_after_stage1218,True,True,True,
G37_status_after_stage1218,True,True,True,
G38_status_after_stage1218,True,True,True,
cpp_source_exists,True,True,True,/home/zanshi/robot-mpc-wbc-locomotion/ros2_ws/src/robot_mpc_wbc_cpp_controller/src/disabled_controller_node.cpp
source_matches_stage1218_hash,True,True,True,
publish_call_count,1,1,True,
source_has_exactly_one_publish_call,True,True,True,
source_has_delayed_one_shot_timer,True,True,True,
source_has_timer_member,True,True,True,
source_timer_cancels_itself,True,True,True,
source_has_zero_safe_message_helper,True,True,True,
source_uses_zero_safe_message_helper,True,True,True,
source_has_stage1214_marker,True,True,True,
source_has_stage124_marker,True,True,True,
source_references_torque_topic,True,True,True,
source_has_active_publisher_member,True,True,True,
source_has_no_continuous_streaming_flags,True,True,True,
source_has_no_continuous_streaming_timer,True,True,True,
source_has_no_stage1219_marker,True,True,True,
safety_header_has_clamp_watchdog,True,True,True,
zero_header_declares_12,True,True,True,
missing_freeze_file_count,0,0,True,
continuous_streaming_source_patch_preflight_frozen,True,True,True,
manual_enable_active,False,False,True,
active_ros_publisher_path_exists,True,True,True,
continuous_torque_streaming_completed,False,False,True,
torque_enable_ready,False,False,True,
control_law_changed,False,False,True,
torque_publisher_enabled,False,False,True,
torque_command_published_by_stage1219,False,False,True,
