metric,value
stage,Stage 12.19
test_name,continuous_torque_streaming_source_patch_preflight_freeze
stage1217_pass,True
stage1217_continuous_torque_streaming_preflight_frozen,True
stage1218_pass,True
stage1218_continuous_torque_streaming_source_patch_design_complete,True
stage1218_source_unchanged_by_stage1218,True
stage1218_source_no_streaming_flags,True
stage1218_source_no_streaming_timer,True
freeze_file_count,13
missing_file_count,0
source_hash_current,1970e55723158545b775a707b99f4e5801f80d96f93cf1f3301f5e27aa15d3e6
source_matches_stage1218_hash,True
publish_call_count,1
source_has_exactly_one_publish_call,True
source_has_delayed_one_shot_timer,True
source_has_timer_member,True
source_timer_cancels_itself,True
source_has_zero_safe_message_helper,True
source_uses_zero_safe_message_helper,True
source_has_stage1214_marker,True
source_has_stage124_marker,True
source_references_torque_topic,True
source_has_active_publisher_member,True
source_has_no_continuous_streaming_flags,True
source_has_no_continuous_streaming_timer,True
source_has_no_stage1219_marker,True
safety_header_has_clamp_watchdog,True
zero_header_declares_12,True
design_all_items_not_applied,True
design_has_continuous_params,True
design_has_four_flag_gate,True
design_has_timer_member,True
design_has_timer_rate,True
design_has_duration_limit,True
design_reuses_single_publish_call,True
design_has_streaming_tick_helper,True
design_has_message_payload,True
design_has_safety_chain,True
design_has_stop_conditions,True
design_has_runtime_evidence,True
design_forbids_hardware,True
design_forbids_control_law_change,True
design_has_abort_conditions,True
continuous_streaming_source_patch_preflight_frozen,True
manual_enable_active,False
active_ros_publisher_path_exists,True
g37_continuous_torque_streaming_preflight_freeze_passed,True
g38_continuous_torque_streaming_source_patch_design_exists,True
g39_continuous_torque_streaming_source_patch_preflight_freeze_passed,True
continuous_torque_streaming_completed,False
torque_enable_ready,False
control_law_changed,False
torque_publisher_enabled,False
torque_command_published_by_stage1219,False
stage12_scope,continuous_torque_streaming_source_patch_preflight_freeze_only
baseline_type,mixed_online_control_baseline
ros2_cpp_realtime_controller_completed,False
pure_wbc_locomotion_completed,False
ekf_completed,False
full_3d_centroidal_mpc_completed,False
hardware_deployment_completed,False
num_checks,68
num_failed_checks,0
pass,True
log_csv,results/logs_sample/stage12_continuous_torque_streaming_source_patch_preflight_freeze_log.csv
hash_csv,results/logs_sample/stage12_continuous_torque_streaming_source_patch_preflight_freeze_hashes.csv
safety_gate_csv,results/logs_sample/stage12_torque_publisher_safety_gate_after_stage1219.csv
summary_csv,results/logs_sample/stage12_continuous_torque_streaming_source_patch_preflight_freeze_summary.csv
doc,docs/STAGE12_CONTINUOUS_TORQUE_STREAMING_SOURCE_PATCH_PREFLIGHT_FREEZE.md
