check,value,expected,pass,detail
Stage 12.4_summary_exists,True,True,True,/home/zanshi/robot-mpc-wbc-locomotion/results/logs_sample/stage12_publisher_construction_source_patch_without_publish_summary.csv
Stage 12.4_pass,True,True,True,
Stage 12.5_summary_exists,True,True,True,/home/zanshi/robot-mpc-wbc-locomotion/results/logs_sample/stage12_publisher_construction_no_publish_freeze_summary.csv
Stage 12.5_pass,True,True,True,
Stage 12.6_summary_exists,True,True,True,/home/zanshi/robot-mpc-wbc-locomotion/results/logs_sample/stage12_manual_enable_activation_design_summary.csv
Stage 12.6_pass,True,True,True,
Stage 12.7_summary_exists,True,True,True,/home/zanshi/robot-mpc-wbc-locomotion/results/logs_sample/stage12_manual_enable_runtime_activation_without_publish_summary.csv
Stage 12.7_pass,True,True,True,
stage124_publisher_construction_without_publish,True,True,True,
stage125_no_publish_integrity_passed,True,True,True,
stage126_manual_enable_design_complete,True,True,True,
stage127_manual_enable_activation_without_publish_passed,True,True,True,
stage127_source_has_create_publisher,True,True,True,
stage127_source_has_publish_call,False,False,True,
stage127_source_references_torque_topic,True,True,True,
stage127_source_has_active_publisher_member,True,True,True,
stage127_source_has_stage124_marker,True,True,True,
stage127_source_unchanged_by_stage127,True,True,True,
stage127_initial_enable_param_false,True,True,True,
stage127_initial_confirm_param_false,True,True,True,
stage127_activated_enable_param_true,True,True,True,
stage127_activated_confirm_param_true,True,True,True,
stage127_manual_enable_active_during_test,True,True,True,
stage127_reverted_enable_param_false,True,True,True,
stage127_reverted_confirm_param_false,True,True,True,
stage127_manual_enable_reverted_false,True,True,True,
stage127_torque_publishers_positive_all_samples,True,True,True,
stage127_no_message_observed_during_activation,True,True,True,
stage127_controller_alive_after_activation,True,True,True,
stage127_torque_enable_ready,False,False,True,
stage127_torque_publisher_enabled,False,False,True,
stage127_torque_command_published_by_stage127,False,False,True,
stage127_control_law_changed,False,False,True,
cpp_source_exists,True,True,True,/home/zanshi/robot-mpc-wbc-locomotion/ros2_ws/src/robot_mpc_wbc_cpp_controller/src/disabled_controller_node.cpp
current_source_has_create_publisher,True,True,True,
current_source_has_no_publish_call,False,False,True,
current_source_references_torque_topic,True,True,True,
current_source_has_active_publisher_member,True,True,True,
current_source_has_stage124_marker,True,True,True,
source_declares_enable_param_default_false,True,True,True,
source_declares_confirm_param_default_false,True,True,True,
source_uses_safety_utilities,True,True,True,
safety_header_has_clamp_watchdog,True,True,True,
zero_header_declares_12,True,True,True,
param_observations_exists,True,True,True,/home/zanshi/robot-mpc-wbc-locomotion/results/logs_sample/stage12_manual_enable_runtime_activation_param_observations.csv
topic_observations_exists,True,True,True,/home/zanshi/robot-mpc-wbc-locomotion/results/logs_sample/stage12_manual_enable_runtime_activation_topic_observations.csv
initial_enable_false_observed,True,True,True,
initial_confirm_false_observed,True,True,True,
activated_enable_true_observed,True,True,True,
activated_confirm_true_observed,True,True,True,
reverted_enable_false_observed,True,True,True,
reverted_confirm_false_observed,True,True,True,
topic_observation_row_count,6,6,True,
activated_topic_observation_row_count,4,4,True,
topic_observation_returncode_zero_all_rows,True,True,True,
topic_observation_publishers_positive_all_rows,True,True,True,
topic_observation_subscribers_positive_all_rows,True,True,True,
topic_echo_stdout_empty,True,True,True,
stage127_safety_gate_exists,True,True,True,/home/zanshi/robot-mpc-wbc-locomotion/results/logs_sample/stage12_torque_publisher_safety_gate_after_stage127.csv
G2_status_after_stage127,False,False,True,
G3_status_after_stage127,True,True,True,
G8_status_after_stage127,False,False,True,
G9_status_after_stage127,True,True,True,
G22_status_after_stage127,True,True,True,
G23_status_after_stage127,True,True,True,
G24_status_after_stage127,True,True,True,
G25_status_after_stage127,True,True,True,
missing_freeze_file_count,0,0,True,
manual_enable_active_during_test,True,True,True,
manual_enable_reverted_false,True,True,True,
active_ros_publisher_path_exists,True,True,True,
no_message_observed_during_activation,True,True,True,
manual_enable_no_publish_frozen,True,True,True,
torque_enable_ready,False,False,True,
torque_publisher_enabled,False,False,True,
torque_command_published_by_stage128,False,False,True,
control_law_changed,False,False,True,
