metric,value
stage,Stage 12.8
test_name,manual_enable_no_publish_freeze
stage124_pass,True
stage125_pass,True
stage126_pass,True
stage127_pass,True
freeze_file_count,20
missing_file_count,0
current_source_has_create_publisher,True
current_source_has_publish_call,False
current_source_references_torque_topic,True
current_source_has_active_publisher_member,True
current_source_has_stage124_marker,True
initial_enable_false_observed,True
initial_confirm_false_observed,True
activated_enable_true_observed,True
activated_confirm_true_observed,True
manual_enable_active_during_test,True
reverted_enable_false_observed,True
reverted_confirm_false_observed,True
manual_enable_reverted_false,True
topic_observation_row_count,6
activated_topic_observation_row_count,4
topic_observation_returncode_zero_all_rows,True
topic_observation_publishers_positive_all_rows,True
topic_observation_subscribers_positive_all_rows,True
topic_echo_stdout_empty,True
no_message_observed_during_activation,True
active_ros_publisher_path_exists,True
g3_no_publish_call,True
g8_manual_enable_active_after_revert,False
g9_active_ros_publisher_path_exists,True
g23_publisher_construction_no_publish_freeze_passed,True
g24_manual_enable_activation_design_exists,True
g25_manual_enable_runtime_activation_without_publish_passed,True
g26_manual_enable_no_publish_freeze_passed,True
manual_enable_no_publish_frozen,True
torque_enable_ready,False
control_law_changed,False
torque_publisher_enabled,False
torque_command_published_by_stage128,False
stage12_scope,manual_enable_no_publish_freeze_only
baseline_type,mixed_online_control_baseline
ros2_cpp_realtime_controller_completed,False
pure_wbc_locomotion_completed,False
ekf_completed,False
full_3d_centroidal_mpc_completed,False
num_checks,77
num_failed_checks,0
pass,True
log_csv,results/logs_sample/stage12_manual_enable_no_publish_freeze_log.csv
hash_csv,results/logs_sample/stage12_manual_enable_no_publish_freeze_hashes.csv
safety_gate_csv,results/logs_sample/stage12_torque_publisher_safety_gate_after_stage128.csv
summary_csv,results/logs_sample/stage12_manual_enable_no_publish_freeze_summary.csv
doc,docs/STAGE12_MANUAL_ENABLE_NO_PUBLISH_FREEZE.md
