check,value,expected,pass,detail
stage126_summary_exists,True,True,True,/home/zanshi/robot-mpc-wbc-locomotion/results/logs_sample/stage12_manual_enable_activation_design_summary.csv
stage126_pass,True,True,True,
stage126_manual_enable_activation_design_complete,True,True,True,
stage126_source_unchanged_by_stage126,True,True,True,
stage126_source_has_publish_call,False,False,True,
stage126_active_ros_publisher_path_exists,True,True,True,
stage126_manual_enable_active,False,False,True,
stage126_torque_enable_ready,False,False,True,
stage126_torque_publisher_enabled,False,False,True,
stage126_control_law_changed,False,False,True,
stage126_gate_exists,True,True,True,/home/zanshi/robot-mpc-wbc-locomotion/results/logs_sample/stage12_torque_publisher_safety_gate_after_stage126.csv
stage126_gate_g3_true,True,True,True,
stage126_gate_g8_false,False,False,True,
stage126_gate_g9_true,True,True,True,
stage126_gate_g24_true,True,True,True,
cpp_source_exists,True,True,True,/home/zanshi/robot-mpc-wbc-locomotion/ros2_ws/src/robot_mpc_wbc_cpp_controller/src/disabled_controller_node.cpp
source_has_create_publisher,True,True,True,
source_has_no_publish_call,False,False,True,
source_references_torque_topic,True,True,True,
source_has_active_publisher_member,True,True,True,
source_has_stage124_marker,True,True,True,
source_declares_enable_param_default_false,True,True,True,
source_declares_confirm_param_default_false,True,True,True,
source_uses_safety_utilities,True,True,True,
safety_header_has_clamp_watchdog,True,True,True,
zero_header_declares_12,True,True,True,
colcon_build_returncode,0,0,True,
bridge_alive_after_startup,True,True,True,
disabled_controller_alive_after_startup,True,True,True,
initial_enable_param_false,True,True,True,
initial_confirm_param_false,True,True,True,
activated_enable_param_true,True,True,True,
activated_confirm_param_true,True,True,True,
reverted_enable_param_false,True,True,True,
reverted_confirm_param_false,True,True,True,
runtime_topic_sample_count,6,6,True,
topic_info_all_returncode_zero,True,True,True,
torque_publishers_positive_all_samples,True,True,True,
torque_subscribers_positive_all_samples,True,True,True,
topic_echo_returncode_timeout,124,124,True,
no_message_observed_during_activation,True,True,True,
controller_alive_after_activation,True,True,True,
source_unchanged_by_stage127,True,True,True,
manual_enable_active_during_test,True,True,True,
manual_enable_reverted_false,True,True,True,
active_ros_publisher_path_exists,True,True,True,
manual_enable_runtime_activation_without_publish_passed,True,True,True,
torque_enable_ready,False,False,True,
torque_publisher_enabled,False,False,True,
torque_command_published_by_stage127,False,False,True,
control_law_changed,False,False,True,
