metric,value
stage,Stage 12.7
test_name,manual_enable_runtime_activation_without_publish
stage126_pass,True
stage126_manual_enable_activation_design_complete,True
source_has_create_publisher,True
source_has_publish_call,False
source_references_torque_topic,True
source_has_active_publisher_member,True
source_has_stage124_marker,True
source_unchanged_by_stage127,True
colcon_build_returncode,0
initial_enable_param_false,True
initial_confirm_param_false,True
activated_enable_param_true,True
activated_confirm_param_true,True
manual_enable_active_during_test,True
reverted_enable_param_false,True
reverted_confirm_param_false,True
manual_enable_reverted_false,True
runtime_topic_sample_count,6
topic_info_all_returncode_zero,True
torque_publishers_positive_all_samples,True
torque_subscribers_positive_all_samples,True
topic_echo_returncode,124
no_message_observed_during_activation,True
controller_alive_after_activation,True
manual_enable_runtime_activation_without_publish_passed,True
active_ros_publisher_path_exists,True
g3_no_publish_call,True
g8_manual_enable_active_during_test,True
g9_active_ros_publisher_path_exists,True
g24_manual_enable_activation_design_exists,True
g25_manual_enable_runtime_activation_without_publish_passed,True
torque_enable_ready,False
control_law_changed,False
torque_publisher_enabled,False
torque_command_published_by_stage127,False
stage12_scope,manual_enable_runtime_activation_without_publish_call
baseline_type,mixed_online_control_baseline
ros2_cpp_realtime_controller_completed,False
pure_wbc_locomotion_completed,False
ekf_completed,False
full_3d_centroidal_mpc_completed,False
num_checks,51
num_failed_checks,0
pass,True
log_csv,results/logs_sample/stage12_manual_enable_runtime_activation_without_publish_log.csv
param_observations_csv,results/logs_sample/stage12_manual_enable_runtime_activation_param_observations.csv
topic_observations_csv,results/logs_sample/stage12_manual_enable_runtime_activation_topic_observations.csv
topic_echo_stdout,results/logs_sample/stage12_manual_enable_runtime_activation_topic_echo_stdout.txt
topic_echo_stderr,results/logs_sample/stage12_manual_enable_runtime_activation_topic_echo_stderr.txt
safety_gate_csv,results/logs_sample/stage12_torque_publisher_safety_gate_after_stage127.csv
summary_csv,results/logs_sample/stage12_manual_enable_runtime_activation_without_publish_summary.csv
build_stdout,results/logs_sample/stage12_manual_enable_runtime_activation_build_stdout.txt
build_stderr,results/logs_sample/stage12_manual_enable_runtime_activation_build_stderr.txt
bridge_stdout,results/logs_sample/stage12_manual_enable_runtime_activation_bridge_stdout.txt
bridge_stderr,results/logs_sample/stage12_manual_enable_runtime_activation_bridge_stderr.txt
controller_stdout,results/logs_sample/stage12_manual_enable_runtime_activation_controller_stdout.txt
controller_stderr,results/logs_sample/stage12_manual_enable_runtime_activation_controller_stderr.txt
doc,docs/STAGE12_MANUAL_ENABLE_RUNTIME_ACTIVATION_WITHOUT_PUBLISH.md
