check,value,expected,pass,detail
stage120_summary_exists,True,True,True,/home/zanshi/robot-mpc-wbc-locomotion/results/logs_sample/stage12_active_publisher_construction_planning_summary.csv
stage120_pass,True,True,True,
stage120_plan_exists,True,True,True,
stage120_planning_complete,True,True,True,
stage120_g19_true,True,True,True,
stage120_manual_enable_active,False,False,True,
stage120_active_ros_publisher_path_exists,False,False,True,
stage120_torque_enable_ready,False,False,True,
stage120_torque_publisher_enabled,False,False,True,
stage120_control_law_changed,False,False,True,
stage120_plan_csv_exists,True,True,True,/home/zanshi/robot-mpc-wbc-locomotion/results/logs_sample/stage12_active_publisher_construction_plan.csv
stage120_plan_all_items_not_implemented,True,True,True,
stage120_plan_has_future_topic,True,True,True,
stage120_plan_separates_construction_and_publish,True,True,True,
stage120_plan_has_abort_conditions,True,True,True,
cpp_source_exists,True,True,True,/home/zanshi/robot-mpc-wbc-locomotion/ros2_ws/src/robot_mpc_wbc_cpp_controller/src/disabled_controller_node.cpp
safety_header_exists,True,True,True,/home/zanshi/robot-mpc-wbc-locomotion/ros2_ws/src/robot_mpc_wbc_cpp_controller/include/robot_mpc_wbc_cpp_controller/torque_safety.hpp
zero_header_exists,True,True,True,/home/zanshi/robot-mpc-wbc-locomotion/ros2_ws/src/robot_mpc_wbc_cpp_controller/include/robot_mpc_wbc_cpp_controller/zero_torque_dry_run.hpp
source_has_no_create_publisher,False,False,True,
source_has_no_publish_call,False,False,True,
source_does_not_reference_torque_topic,False,False,True,
source_declares_enable_param_default_false,True,True,True,
source_declares_confirm_param_default_false,True,True,True,
source_uses_safety_utilities,True,True,True,
safety_header_has_clamp_watchdog,True,True,True,
zero_header_declares_12,True,True,True,
dormant_publisher_path_source_skeleton_exists,True,True,True,
stage120_gate_exists,True,True,True,/home/zanshi/robot-mpc-wbc-locomotion/results/logs_sample/stage12_torque_publisher_safety_gate_after_stage120.csv
stage120_gate_g8_false,False,False,True,
stage120_gate_g9_false,False,False,True,
stage120_gate_g19_true,True,True,True,
colcon_build_returncode,0,0,True,
bridge_alive_after_startup,True,True,True,
disabled_controller_alive_after_startup,True,True,True,
enable_param_get_returncode,0,0,True,
confirm_param_get_returncode,0,0,True,
enable_param_default_false,True,True,True,"Boolean value is: False
"
confirm_param_default_false,True,True,True,"Boolean value is: False
"
runtime_sample_count,6,6,True,
topic_info_all_returncode_zero,True,True,True,
torque_publishers_zero_all_samples,True,True,True,
torque_subscribers_positive_all_samples,True,True,True,
pre_construction_source_runtime_guard_passed,True,True,True,
manual_enable_active,False,False,True,
active_ros_publisher_path_exists,False,False,True,
torque_enable_ready,False,False,True,
