metric,value
stage,Stage 12.1
test_name,pre_construction_source_runtime_guard
stage120_pass,True
stage120_active_publisher_construction_planning_complete,True
stage120_g19_active_publisher_construction_planning_exists,True
colcon_build_returncode,0
source_has_no_create_publisher,True
source_has_no_publish_call,True
source_does_not_reference_torque_topic,True
source_declares_enable_param_default_false,True
source_declares_confirm_param_default_false,True
source_uses_safety_utilities,True
dormant_publisher_path_source_skeleton_exists,True
enable_param_default_false,True
confirm_param_default_false,True
runtime_expected_sample_count,6
runtime_observed_sample_count,6
topic_info_all_returncode_zero,True
torque_publishers_zero_all_samples,True
torque_subscribers_positive_all_samples,True
pre_construction_source_runtime_guard_passed,True
manual_enable_active,False
active_ros_publisher_path_exists,False
g8_manual_enable_active,False
g9_active_ros_publisher_path_exists,False
g20_pre_construction_source_runtime_guard_passed,True
torque_enable_ready,False
control_law_changed,False
torque_publisher_enabled,False
torque_command_published_by_stage121,False
stage12_scope,pre_construction_source_runtime_guard_only
baseline_type,mixed_online_control_baseline
ros2_cpp_realtime_controller_completed,False
pure_wbc_locomotion_completed,False
ekf_completed,False
full_3d_centroidal_mpc_completed,False
num_checks,46
num_failed_checks,0
pass,True
log_csv,results/logs_sample/stage12_pre_construction_source_runtime_guard_log.csv
observations_csv,results/logs_sample/stage12_pre_construction_topic_observations.csv
safety_gate_csv,results/logs_sample/stage12_torque_publisher_safety_gate_after_stage121.csv
summary_csv,results/logs_sample/stage12_pre_construction_source_runtime_guard_summary.csv
build_stdout,results/logs_sample/stage12_pre_construction_guard_build_stdout.txt
build_stderr,results/logs_sample/stage12_pre_construction_guard_build_stderr.txt
param_stdout,results/logs_sample/stage12_pre_construction_guard_param_stdout.txt
param_stderr,results/logs_sample/stage12_pre_construction_guard_param_stderr.txt
bridge_stdout,results/logs_sample/stage12_pre_construction_guard_bridge_stdout.txt
bridge_stderr,results/logs_sample/stage12_pre_construction_guard_bridge_stderr.txt
controller_stdout,results/logs_sample/stage12_pre_construction_guard_controller_stdout.txt
controller_stderr,results/logs_sample/stage12_pre_construction_guard_controller_stderr.txt
doc,docs/STAGE12_PRE_CONSTRUCTION_SOURCE_RUNTIME_GUARD.md
