check,value,expected,pass,detail
stage128_summary_exists,True,True,True,/home/zanshi/robot-mpc-wbc-locomotion/results/logs_sample/stage12_manual_enable_no_publish_freeze_summary.csv
stage128_pass,True,True,True,
stage128_manual_enable_no_publish_frozen,True,True,True,
stage128_current_source_has_create_publisher,True,True,True,
stage128_current_source_has_publish_call,False,False,True,
stage128_active_ros_publisher_path_exists,True,True,True,
stage128_no_message_observed_during_activation,True,True,True,
stage128_torque_enable_ready,False,False,True,
stage128_torque_publisher_enabled,False,False,True,
stage128_torque_command_published,False,False,True,
stage128_control_law_changed,False,False,True,
cpp_source_exists,True,True,True,/home/zanshi/robot-mpc-wbc-locomotion/ros2_ws/src/robot_mpc_wbc_cpp_controller/src/disabled_controller_node.cpp
source_has_create_publisher,True,True,True,
source_has_no_publish_call,False,False,True,
source_references_torque_topic,True,True,True,
source_has_active_publisher_member,True,True,True,
source_has_stage124_marker,True,True,True,
source_declares_enable_param_default_false,True,True,True,
source_declares_confirm_param_default_false,True,True,True,
source_uses_safety_utilities,True,True,True,
safety_header_has_clamp_watchdog,True,True,True,
zero_header_declares_12,True,True,True,
stage128_gate_exists,True,True,True,/home/zanshi/robot-mpc-wbc-locomotion/results/logs_sample/stage12_torque_publisher_safety_gate_after_stage128.csv
G2_status_after_stage128,False,False,True,
G3_status_after_stage128,True,True,True,
G8_status_after_stage128,False,False,True,
G9_status_after_stage128,True,True,True,
G23_status_after_stage128,True,True,True,
G24_status_after_stage128,True,True,True,
G25_status_after_stage128,True,True,True,
G26_status_after_stage128,True,True,True,
publish_call_design_exists,True,True,True,/home/zanshi/robot-mpc-wbc-locomotion/results/logs_sample/stage12_publish_call_design.csv
design_all_items_not_implemented,True,True,True,
design_has_future_publish_call_site,True,True,True,
design_has_preconditions,True,True,True,
design_has_payload_contract,True,True,True,
design_has_safety_filter,True,True,True,
design_has_first_publish_policy,True,True,True,
design_forbids_control_law_change,True,True,True,
design_has_runtime_observation,True,True,True,
design_has_revert_procedure,True,True,True,
design_has_abort_conditions,True,True,True,
source_unchanged_by_stage129,True,True,True,
publish_call_design_complete,True,True,True,
manual_enable_active,False,False,True,
active_ros_publisher_path_exists,True,True,True,
torque_enable_ready,False,False,True,
control_law_changed,False,False,True,
torque_publisher_enabled,False,False,True,
torque_command_published_by_stage129,False,False,True,
