metric,value
stage,Stage 12.9
test_name,publish_call_design_only
stage128_pass,True
stage128_manual_enable_no_publish_frozen,True
source_has_create_publisher,True
source_has_publish_call,False
source_references_torque_topic,True
source_has_active_publisher_member,True
source_has_stage124_marker,True
source_declares_enable_param_default_false,True
source_declares_confirm_param_default_false,True
source_unchanged_by_stage129,True
publish_call_design_exists,True
design_all_items_not_implemented,True
design_has_future_publish_call_site,True
design_has_preconditions,True
design_has_payload_contract,True
design_has_safety_filter,True
design_has_first_publish_policy,True
design_forbids_control_law_change,True
design_has_runtime_observation,True
design_has_revert_procedure,True
design_has_abort_conditions,True
publish_call_design_complete,True
manual_enable_active,False
active_ros_publisher_path_exists,True
g3_no_publish_call,True
g8_manual_enable_active,False
g9_active_ros_publisher_path_exists,True
g26_manual_enable_no_publish_freeze_passed,True
g27_publish_call_design_exists,True
torque_enable_ready,False
control_law_changed,False
torque_publisher_enabled,False
torque_command_published_by_stage129,False
stage12_scope,publish_call_design_only
baseline_type,mixed_online_control_baseline
ros2_cpp_realtime_controller_completed,False
pure_wbc_locomotion_completed,False
ekf_completed,False
full_3d_centroidal_mpc_completed,False
num_checks,50
num_failed_checks,0
pass,True
log_csv,results/logs_sample/stage12_publish_call_design_log.csv
design_csv,results/logs_sample/stage12_publish_call_design.csv
safety_gate_csv,results/logs_sample/stage12_torque_publisher_safety_gate_after_stage129.csv
summary_csv,results/logs_sample/stage12_publish_call_design_summary.csv
doc,docs/STAGE12_PUBLISH_CALL_DESIGN_ONLY.md
