check,value,expected,pass,detail
Stage 12.4_summary_exists,True,True,True,/home/zanshi/robot-mpc-wbc-locomotion/results/logs_sample/stage12_publisher_construction_source_patch_without_publish_summary.csv
Stage 12.4_pass,True,True,True,
Stage 12.5_summary_exists,True,True,True,/home/zanshi/robot-mpc-wbc-locomotion/results/logs_sample/stage12_publisher_construction_no_publish_freeze_summary.csv
Stage 12.5_pass,True,True,True,
Stage 12.6_summary_exists,True,True,True,/home/zanshi/robot-mpc-wbc-locomotion/results/logs_sample/stage12_manual_enable_activation_design_summary.csv
Stage 12.6_pass,True,True,True,
Stage 12.7_summary_exists,True,True,True,/home/zanshi/robot-mpc-wbc-locomotion/results/logs_sample/stage12_manual_enable_runtime_activation_without_publish_summary.csv
Stage 12.7_pass,True,True,True,
Stage 12.8_summary_exists,True,True,True,/home/zanshi/robot-mpc-wbc-locomotion/results/logs_sample/stage12_manual_enable_no_publish_freeze_summary.csv
Stage 12.8_pass,True,True,True,
Stage 12.9_summary_exists,True,True,True,/home/zanshi/robot-mpc-wbc-locomotion/results/logs_sample/stage12_publish_call_design_summary.csv
Stage 12.9_pass,True,True,True,
stage124_publisher_construction_without_publish,True,True,True,
stage125_no_publish_integrity_passed,True,True,True,
stage126_manual_enable_design_complete,True,True,True,
stage127_manual_enable_activation_without_publish_passed,True,True,True,
stage128_manual_enable_no_publish_frozen,True,True,True,
stage129_publish_call_design_complete,True,True,True,
stage129_source_has_create_publisher,True,True,True,
stage129_source_has_publish_call,False,False,True,
stage129_source_references_torque_topic,True,True,True,
stage129_source_has_active_publisher_member,True,True,True,
stage129_source_has_stage124_marker,True,True,True,
stage129_source_unchanged_by_stage129,True,True,True,
stage129_publish_call_design_exists,True,True,True,
stage129_design_all_items_not_implemented,True,True,True,
stage129_design_has_future_publish_call_site,True,True,True,
stage129_design_has_preconditions,True,True,True,
stage129_design_has_payload_contract,True,True,True,
stage129_design_has_safety_filter,True,True,True,
stage129_design_has_first_publish_policy,True,True,True,
stage129_design_forbids_control_law_change,True,True,True,
stage129_design_has_runtime_observation,True,True,True,
stage129_design_has_revert_procedure,True,True,True,
stage129_design_has_abort_conditions,True,True,True,
stage129_manual_enable_active,False,False,True,
stage129_active_ros_publisher_path_exists,True,True,True,
stage129_torque_enable_ready,False,False,True,
stage129_control_law_changed,False,False,True,
stage129_torque_publisher_enabled,False,False,True,
stage129_torque_command_published_by_stage129,False,False,True,
cpp_source_exists,True,True,True,/home/zanshi/robot-mpc-wbc-locomotion/ros2_ws/src/robot_mpc_wbc_cpp_controller/src/disabled_controller_node.cpp
current_source_has_create_publisher,True,True,True,
current_source_has_no_publish_call,False,False,True,
current_source_references_torque_topic,True,True,True,
current_source_has_active_publisher_member,True,True,True,
current_source_has_stage124_marker,True,True,True,
source_declares_enable_param_default_false,True,True,True,
source_declares_confirm_param_default_false,True,True,True,
source_uses_safety_utilities,True,True,True,
safety_header_has_clamp_watchdog,True,True,True,
zero_header_declares_12,True,True,True,
publish_design_csv_exists,True,True,True,/home/zanshi/robot-mpc-wbc-locomotion/results/logs_sample/stage12_publish_call_design.csv
publish_design_all_items_not_implemented,True,True,True,
publish_design_has_publish_call_site,True,True,True,
publish_design_has_preconditions,True,True,True,
publish_design_has_payload_contract,True,True,True,
publish_design_has_safety_filter,True,True,True,
publish_design_has_first_publish_policy,True,True,True,
publish_design_has_abort_conditions,True,True,True,
stage129_safety_gate_exists,True,True,True,/home/zanshi/robot-mpc-wbc-locomotion/results/logs_sample/stage12_torque_publisher_safety_gate_after_stage129.csv
G2_status_after_stage129,False,False,True,
G3_status_after_stage129,True,True,True,
G8_status_after_stage129,False,False,True,
G9_status_after_stage129,True,True,True,
G22_status_after_stage129,True,True,True,
G23_status_after_stage129,True,True,True,
G24_status_after_stage129,True,True,True,
G25_status_after_stage129,True,True,True,
G26_status_after_stage129,True,True,True,
G27_status_after_stage129,True,True,True,
missing_freeze_file_count,0,0,True,
publish_call_preflight_frozen,True,True,True,
manual_enable_active,False,False,True,
active_ros_publisher_path_exists,True,True,True,
torque_enable_ready,False,False,True,
torque_publisher_enabled,False,False,True,
torque_command_published_by_stage1210,False,False,True,
control_law_changed,False,False,True,
