metric,value
stage,Stage 12.10
test_name,publish_call_preflight_freeze
stage124_pass,True
stage125_pass,True
stage126_pass,True
stage127_pass,True
stage128_pass,True
stage129_pass,True
freeze_file_count,26
missing_file_count,0
current_source_has_create_publisher,True
current_source_has_publish_call,False
current_source_references_torque_topic,True
current_source_has_active_publisher_member,True
current_source_has_stage124_marker,True
publish_design_all_items_not_implemented,True
publish_design_has_publish_call_site,True
publish_design_has_preconditions,True
publish_design_has_payload_contract,True
publish_design_has_safety_filter,True
publish_design_has_first_publish_policy,True
publish_design_has_abort_conditions,True
publish_call_preflight_frozen,True
manual_enable_active,False
active_ros_publisher_path_exists,True
g3_no_publish_call,True
g8_manual_enable_active_after_revert,False
g9_active_ros_publisher_path_exists,True
g26_manual_enable_no_publish_freeze_passed,True
g27_publish_call_design_exists,True
g28_publish_call_preflight_freeze_passed,True
torque_enable_ready,False
control_law_changed,False
torque_publisher_enabled,False
torque_command_published_by_stage1210,False
stage12_scope,publish_call_preflight_freeze_only
baseline_type,mixed_online_control_baseline
ros2_cpp_realtime_controller_completed,False
pure_wbc_locomotion_completed,False
ekf_completed,False
full_3d_centroidal_mpc_completed,False
num_checks,79
num_failed_checks,0
pass,True
log_csv,results/logs_sample/stage12_publish_call_preflight_freeze_log.csv
hash_csv,results/logs_sample/stage12_publish_call_preflight_freeze_hashes.csv
safety_gate_csv,results/logs_sample/stage12_torque_publisher_safety_gate_after_stage1210.csv
summary_csv,results/logs_sample/stage12_publish_call_preflight_freeze_summary.csv
doc,docs/STAGE12_PUBLISH_CALL_PREFLIGHT_FREEZE.md
