check,value,expected,pass,detail
Stage 12.0_summary_exists,True,True,True,/home/zanshi/robot-mpc-wbc-locomotion/results/logs_sample/stage12_active_publisher_construction_planning_summary.csv
Stage 12.0_pass,True,True,True,
Stage 12.1_summary_exists,True,True,True,/home/zanshi/robot-mpc-wbc-locomotion/results/logs_sample/stage12_pre_construction_source_runtime_guard_summary.csv
Stage 12.1_pass,True,True,True,
Stage 12.2_summary_exists,True,True,True,/home/zanshi/robot-mpc-wbc-locomotion/results/logs_sample/stage12_publisher_construction_source_patch_design_summary.csv
Stage 12.2_pass,True,True,True,
Stage 12.3_summary_exists,True,True,True,/home/zanshi/robot-mpc-wbc-locomotion/results/logs_sample/stage12_construction_stage_preflight_freeze_summary.csv
Stage 12.3_pass,True,True,True,
Stage 12.4_summary_exists,True,True,True,/home/zanshi/robot-mpc-wbc-locomotion/results/logs_sample/stage12_publisher_construction_source_patch_without_publish_summary.csv
Stage 12.4_pass,True,True,True,
stage120_planning_complete,True,True,True,
stage121_pre_construction_guard_passed,True,True,True,
stage122_patch_design_complete,True,True,True,
stage123_preflight_frozen,True,True,True,
stage124_source_patch_applied,True,True,True,
stage124_post_source_has_create_publisher,True,True,True,
stage124_post_source_has_publish_call,False,False,True,
stage124_post_source_references_torque_topic,True,True,True,
stage124_post_source_has_active_publisher_member,True,True,True,
stage124_post_source_has_stage124_marker,True,True,True,
stage124_colcon_build_returncode,0,0,True,
stage124_enable_param_default_false,True,True,True,
stage124_confirm_param_default_false,True,True,True,
stage124_torque_publishers_positive_all_samples,True,True,True,
stage124_active_ros_publisher_path_exists,True,True,True,
stage124_manual_enable_active,False,False,True,
stage124_torque_enable_ready,False,False,True,
stage124_torque_publisher_enabled,False,False,True,
stage124_torque_command_published_by_stage124,False,False,True,
cpp_source_exists,True,True,True,/home/zanshi/robot-mpc-wbc-locomotion/ros2_ws/src/robot_mpc_wbc_cpp_controller/src/disabled_controller_node.cpp
safety_header_exists,True,True,True,/home/zanshi/robot-mpc-wbc-locomotion/ros2_ws/src/robot_mpc_wbc_cpp_controller/include/robot_mpc_wbc_cpp_controller/torque_safety.hpp
zero_header_exists,True,True,True,/home/zanshi/robot-mpc-wbc-locomotion/ros2_ws/src/robot_mpc_wbc_cpp_controller/include/robot_mpc_wbc_cpp_controller/zero_torque_dry_run.hpp
current_source_has_create_publisher,True,True,True,
current_source_has_no_publish_call,False,False,True,
current_source_references_torque_topic,True,True,True,
current_source_has_active_publisher_member,True,True,True,
current_source_has_stage124_marker,True,True,True,
source_declares_enable_param_default_false,True,True,True,
source_declares_confirm_param_default_false,True,True,True,
source_uses_safety_utilities,True,True,True,
safety_header_has_clamp_watchdog,True,True,True,
zero_header_declares_12,True,True,True,
runtime_observation_row_count,6,6,True,
runtime_observation_publishers_positive_all_rows,True,True,True,
runtime_observation_subscribers_positive_all_rows,True,True,True,
runtime_observation_returncode_zero_all_rows,True,True,True,
stage124_safety_gate_exists,True,True,True,/home/zanshi/robot-mpc-wbc-locomotion/results/logs_sample/stage12_torque_publisher_safety_gate_after_stage124.csv
G0_status_after_stage124,True,True,True,
G1_status_after_stage124,True,True,True,
G2_status_after_stage124,False,False,True,
G3_status_after_stage124,True,True,True,
G4_status_after_stage124,True,True,True,
G5_status_after_stage124,True,True,True,
G6_status_after_stage124,True,True,True,
G7_status_after_stage124,True,True,True,
G8_status_after_stage124,False,False,True,
G9_status_after_stage124,True,True,True,
G10_status_after_stage124,True,True,True,
G11_status_after_stage124,True,True,True,
G12_status_after_stage124,True,True,True,
G13_status_after_stage124,True,True,True,
G14_status_after_stage124,True,True,True,
G15_status_after_stage124,True,True,True,
G16_status_after_stage124,True,True,True,
G17_status_after_stage124,True,True,True,
G18_status_after_stage124,True,True,True,
G19_status_after_stage124,True,True,True,
G20_status_after_stage124,True,True,True,
G21_status_after_stage124,True,True,True,
G22_status_after_stage124,True,True,True,
missing_freeze_file_count,0,0,True,
publisher_construction_no_publish_integrity_passed,True,True,True,
manual_enable_active,False,False,True,
active_ros_publisher_path_exists,True,True,True,
torque_enable_ready,False,False,True,
torque_publisher_enabled,False,False,True,
